O Pencils,Pencils,Multiple
O Erasers,Erasers,Multiple
O Ruler,Ruler,1
O Highlighters,Highlighters,Multiple
O Colored Pencils,Colored Pencils,Multiple
O Pencil Sharpener,Pencil Sharpener,1
O Colored Markers,Colored Markers,Multiple
"O Pens (Black, Blue, Red)",Pens,Multiple
O Correction Tape,Correction Tape,1
O Gluesticks,Gluesticks,Multiple
O Stapler,Stapler,1
O Scissors,Scissors,Multiple
O Planner/Agenda,Planner Agenda,1
O Sticky Notes,Sticky Notes,Multiple
O Printer Paper,Printer Paper,1
O Lined Paper,Lined Paper,1
O Graph Paper,Graph Paper,Multiple
O Pencil Case,Pencil Case,1
O Exercise Books,Exercise Books,Multiple
O Sheet Reinforcements,Sheet Reinforcements,Multiple
O Tab Dividers,Tab Dividers,Multiple
O Sheet Protectors,Sheet Protectors,Multiple
O Coil Notebooks,Coil Notebooks,Multiple
O Binders (1 or 2 inch),Binders,Multiple
O Pocket Folders,Pocket Folders,Multiple
O Report Covers,Report Covers,Multiple
O Dictionary
O Scientific Calculator,Scientific Calculator,1
O Geometry Set,Geometry,1
O Combination Lock,Combination Lock,1
O School Bag/Lunch Bag,Bag Lunch Bag,1
D Water Bottle,Water,1
gym Shoes,gym Shoes,Multiple
Pinterest
Best 25+ High school supplies ideas
on Pinterest High school
• e •
•
_O
•
•
•
High School (9-12) Supplies List is all you need to get students
