skth grade Supp(y List,Supp,1
**Please put your first and last name on all school supplies.**
"1. One 2 -inch, 3 -ring binder",One inch ring binder,1
- Language Arts: Red,Language Red,1
"• Inside the binder, include:"
- 2 clear sheet protectors,clear sheet protectors,2
- Reinforced loose leaf,Reinforced loose leaf,1
- 5 Dividers labeled as:,Dividers labeled,5
• Word Study,Word Study,1
• Writing
• Reading
• Reading Log
• Graded Assignments,Graded Assignments,Multiple
"2. Three 1 -inch, 3 -ring binders color coded by subject"
- Math: Green
"• Inside the binder, include:"
- 2 clear sheet protectors,clear sheet protectors,2
- Reinforced loose leaf,Reinforced loose leaf,1
- 3 Dividers labeled as:,Dividers labeled,3
• Brain Challenge,Brain Challenge,1
• Classwork,Classwork,1
• Graded Assignments,Graded Assignments,Multiple
- Science: Black,Science Black,1
"• Inside the binder, include:"
- 2 clear sheet protectors,clear sheet protectors,2
- Reinforced loose leaf,Reinforced loose leaf,1
- 3 Dividers labeled as:,Dividers labeled,3
• Requirements,Requirements,Multiple
• Table of Contents,Table Contents,Multiple
• Sponge,Sponge,1
- Social Studies: Blue
"• Inside the binder, include:"
- 2 clear sheet protectors,clear sheet protectors,2
- Reinforced loose leaf,Reinforced loose leaf,1
- 4 Dividers labeled as:,Dividers labeled,4
• Notes,Notes,Multiple
• Quizzes,Quizzes,Multiple
• Homework,Homework,1
• Responses,Responses,Multiple
