Iraan - ► ntary
Fiftl • rade
"Reading, Math, S -"
"ce, & Social Studies"
List
2017 — 2018
1— Pocket Red Folders,Pocket Red Folders,1
1— Pocket Blue Folders,Pocket Blue Folders,1
2 — Pack of Colored Pencils,Pack Colored Pencils,2
2 - Boxes of Crayons,Crayons,2
3 - Packs of 24 count Pencils,Pencils,3
6 - Package of Elmer's glue sticks,Elmer glue sticks,6
1- Scissors,Scissors,1
4 — Highlighters,Highlighters,4
4 - Composition Books,Composition Books,4
2 — Sets of Earbuds,Sets Earbuds,2
2- Box of Kleenex,Kleenex,2
1- Pink eraser,Pink eraser,1
2 — Packs Pencil Top Erasers,Pencil Top Erasers,2
