Pilafliat frglyt 20f1
SHOPPING l IS!,SHOPPING,1
��
L i(
NEW BACKPACK,NEW BACKPACK,1
t BOXES 24 -COUNT CRAYONS,CRAYONS,Multiple
PACK WASHABLE MARKERS,PACK WASHABLE MARKERS,Multiple
.. -1 PACK COLORED PENCILS,PACK COLORED PENCILS,1
",,i1 PINK ERASER",PINK ERASER,1
i4 PENCIL BOX OR POUCH,PENCIL POUCH,1
I DRY -ERASE MARKERS,DRY ERASE MARKERS,Multiple
",v3 GLUE STICKS",GLUE STICKS,Multiple
BOTTLES 4 OZ. GLUE
4 RULER,RULER,4
PAIR BLUNT -TIP SCISSORS,BLUNT TIP SCISSORS,Multiple
WIDE -RULED SPIRAL,WIDE RULED SPIRAL,1
NOTEBOOKS,NOTEBOOKS,Multiple
PACK WIDE -RULED PAPER,PACK WIDE RULED PAPER,1
TWIN -POCKET FOLDERS,TWIN POCKET FOLDERS,Multiple
6424 NO. 2 PENCILS,PENCILS,6424
WIDE -RULED COMPOSITION,WIDE RULED COMPOSITION,1
NOTEBOOK,NOTEBOOK,1
