"3""' Grade, Girls",Girls,3
"2 Good & aenn Wipes, Disifirect, Bleadi Fri, Caniabr, 35 Ct.",Good Wipes Fri,2
"1 - Cfisyda Cfe2YOTIS, Crayola, Tuck Box, 24/ Box",Crayola Tuck,1
1 * Sentry Egr w/ Case,Sentry Case,1
"1 - EDM1/ choolKidz Paper Towels, Roll, 2 Ply, 85 Sh=ts",Paper Towels Roll Ply,1
"1 - Scotties Facial Tissue, 'Scotties', Hypo -Allergenic, 200 Ct.",Scotties Facial Tissue Scotties Hypo Allergenic 200,1
"2 - Dixon Pencils, #2, Ticonderoga, Sharpened, Dz.",Dixon Pencils Ticonderoga Sharpened,2
nsemanaugousmsnosanamuumnamasumwasasnuntsmacantneursiquontanuanaspasosquosamolouosusosawnnemsounontisweenorgmaumnamensormenarommutstramovelesnomananunasegruogsnroutsinimmustiurtnasmasasoamts
"2 - Elmer's Glue Stick, Washable, Purple, Dries Clear, .77 oz.",Elmer Glue Stick Washable Purple Dries Clear,2
"1 - Crayola Markers, Washable, Classic Colors, Fine Tip, 8/Set",Crayola Markers Washable Classic Colors Fine Tip Set,1
"2 - C -Line Folder, Poly, 2 Pocket, w/Prom, Red",Line Folder Pocket,2
"1 - SchoolKidz Folders, 2 Pocket, 6Pk, BelRdl n/Yw1PufBlk",Folders Pocket,1
"1 - SchoolKidz Folder, 2 Pocket, 14 Pt, Orange",Folder Pocket Orange,1
"1 - SchoolKidz Folder, 2 Pocket, 14 Pt., Blue",Folder Pocket Blue,1
"2 - SchoolKidz Folder, 2 Pocket, 14 Pt., White",Folder Pocket White,2
"2 - Staples Composition Book, Marble Cover, WR, 100 Sheets, ELI",Staples Composition Book Marble Cover 100 Sheets ELI,2
"1 - Staples Notebook, 1 Sub, WR, Perf, 70 Ct., Asst.",Staples Notebook Sub Asst,1
"2 - Staples Highlighter, Chisel Tip, Yellow, w/Pkt Clip",Staples Highlighter Chisel Tip Yellow,2
"1 - Crayola Pencils, Colored, 7"", Sharpened, 24/Set",Crayola Pencils Colored Sharpened Set,1
"1 - Expo 2 Marker, Dry Erase, Chisel Tip, Low Odor, Black",Expo Marker Dry Erase Chisel Tip Low Odor Black,1
"2 - Expo 2 Marker, Dry Erase, Fine Tip, Low Odor, Black",Expo Marker Dry Erase Fine Tip Low Odor Black,2
"3 - Pacon Handwriting Comp Book, 3/8"", Wht,SW, 24 Sht,Gr 3,Red Cvr",Handwriting Comp Book Red,3
"1 - SchoolKidz Storage Bags, Economy Zip, Sandwich, 50 Ct.",Storage Bags Economy Zip Sandwich,1
"1 - Personal Care ORM-D-Hand Sanitizer, Antibacterial, Gel, Flip Top, 8 oz.",Care Hand Sanitizer Antibacterial Gel Flip Top,1
