Kindergarten
2 100 count box's Kleenex,box Kleenex,2
"1 blunt 5"" Fiskar scissors (no plastic)",blunt Fiskar scissors,1
1 large pink eraser,large eraser,1
1 Crayola broad tip washable classic colored markers,Crayola broad tip washable classic colored markers,1
1 clear (see thru) pencil pouch for binder,clear pencil pouch,1
6 #2 yellow pencils,pencils,6
4 box 24 count regular Crayola brand crayons (no,regular Crayola brand crayons,4
"cks fluorescent, Rose Art or So Big Y cra ons'l",fluorescent Rose Art Big ons,1
1 Manuscript Writing Tablet,Manuscript Writing Tablet,1
1 backpack (no miniature or rolling:1 must,backpack,1
hold binder,hold binder,1
1 Clorox/Lysol wipes,Clorox Lysol wipes,1
1 box quart size slider Ziploc bags,quart size slider Ziploc bags,1
1 8x5x2 Plastic school box,Plastic,1
1 box 8 count Jumbo Crayoia Crayons,Jumbo Crayons,1
8 E`mer's Dra g'ue stic (s,mer tic,8
2 Pocket On y Folder,Pocket Folder,2
2 Expo Dry Erase Markers,Expo Dry Erase Markers,2
Gir's-- 2 ro !Is paper towe s,paper,1
Boys— 1 'Dottie o1 Hand Sanitizer,Boys Dottie Hand Sanitizer,Multiple
$5.00 for Wee ( y Reader
$5OO or book )lncer
", Sloes for ]?.:73.",Sloes,73
