First Grad,Grad,1
* 2 boxes of cray
* 4 folders with inside r yellow for,folders,4
"organization)*  poc ( blue, 9",organization,1
5 glue sticks,glue sticks,5
* 1 pair of scissors,scissors,1
* pack of,pack,1
pencils (sharpened if possible),pencils,Multiple
* 2 erasers,erasers,2
* 5 whiteboard markers the thick bold colors),markers the thick bold colors,5
"* 1 plastic pencil box ( hick markers,",plastic pencil,1
* hand sanitizer for classroom use,hand sanitizer,1
S
Classroom Supplies,Classroom,1
The following list are items that are frequently used in the classroom by
"students. They are not required, but are greatly needed in a first grade"
class.,class,1
* 1 box of tissues,tissues,1
* large slider Ziploc bags,large slider Ziploc bags,Multiple
* small Ziploc bags,small Ziploc bags,Multiple
* 1 ream of colored copy paper,ream colored copy paper,1
* index cards,index cards,Multiple
