�.. JIUI IVI
y s a c a i
2017 - axe Second mods 5i9p►y List,mods,2017
eloolt-bcrr lit rr r• tLxW-,lit,1
48 #2 1 c iri_ S : )
I Soft z +yp .:st
"1 bol of 6:""-,c+4:: rwoRs . 8 0« k 1 1"
"1 bo. L r o tarike s , e) pock - Coss»( Colors",pock,1
"1,t or type)",type,1
5 so3 s•..ks
b+o. ' Sherr-ie po..i? n: +ontrt rr+ariter
I barrt i s qtr
"2 e re ! 3 t age stP.r U T e (1:0"" cgr woke t e)",age,2
"1 For F‘sx rs !oar t' S . - SC , SSOVS : 39t",For oar,1
3 poc yellow Post - F t type notes (3' = 3' 100 sheets per pod),Post type notes,3
"I full sae box of tissues (for c rase c.�.: , use)",full tissues,Multiple
"1 full sae box of W c t O'w type .rocs ( : sexs= -. , use )",full type,1
5 co+ortc ma-t4c note: s ;10C sheets YaDE QtAW Q hard Cover),note sheets hard Cover,5
(Dick red ptr'p+c bNat and grten )
"1 but PLASTIC pock,' f o+der lam' zo.ta' pockets)",but PLASTIC pock lam pockets,1
I grew+ PLASTIC pocket f older ; :cr • w poc ke t s ),grew PLASTIC pocket older,1
1 MC PLASTIC pocket forder.►'+or zor•c. pockets),PLASTIC pocket pockets,1
1 box= or grCry PLASTIC pocket fo.der thoraoh!CJ pockets),box PLASTIC pocket pockets,1
I p rp t PLASTIC pocket f okser (r+or!:Ont ci pockets),PLASTIC pocket,1
1 yei.o.. PLASTIC pocket f6dtr (Mr. j t'ce pockets),PLASTIC pocket,1
"ALL $ , T S MUST BE LABELED"
(wt sobs to ttova tool),sobs tool,1
"S» i - *g P' ' sc w• t ♦clog few t seed M c •*, ~fa ar+d !M",clog few seed,1
raw SAO t +n C separrat+t bag Otokiri *t t Ors rvrrtei l a . Me greets r
:. We w
Mini it,Mini,1
