M I M1
id i!� ..
era iswc r`r,era,1
",.,gin",gin,1
z�.n
Mihrot
nzgx.
wpokir
"12 Pencils (NO mechanics/ pencils, please)",Pencils,12
2 Pink Erasers,Pink Erasers,2
1 Pencil Sharpener WITH Ild,Pencil Sharpener WITH,1
"1 Pencil Zippered Pouch (NO school boxes, please)",Pencil Zippered Pouch,1
2 Glue Sticks (NO glue `-=_ please),Glue Sticks,2
1 Child Safety Scissors,Child Safety Scissors,1
1 Highlighters (any color),Highlighters,1
6 Black & White Intermediate Composition Notebooks,Black White Intermediate Composition Notebooks,6
"2 Packs of white, lined notebook paper",white lined notebook paper,2
Nisdphones (from Dollar store)
"1 ti+, of Zipioc Bags",Bags,1
"1 lakbag (no wheels, please)"
1 12' Ruler (m st display i i-ties and u.rrVometersj,Ruler,1
I Box of Crayons,Crayons,Multiple
"2R,ed .s"
2 Blue Pens,Blue Pens,2
"1 Plastic Hornelea,,k",Plastic,1
"1 3'"" Binder for FCAT PractI",Binder,1
4 plastic folders,plastic folders,4
Hand X41a Wioes,Hand,1
1 box c` Kleenex .:,Kleenex,1
Wig botie,Wig,1
"2 re ! ,_s :::2py ;r"
Teacher sWitartAiSt,Teacher,1
Rl1 rnancdt: rouiI I t
