_AST for CHALMETTE
tLEMENTA
03
lrst Grade Supply List
2 rolls of paper towels,rolls paper towels,2
96 YELLOW #2 pencils sharpened (No,YELLOW pencils sharpened,96
DIXON Brand),DIXON Brand,1
4 boxes of Crayola crayons (8 count),Crayola crayons,4
1 pair of Fiskars scissors,scissors,1
"4 Eimer's glue sticks ,jumbo",glue sticks jumbo,4
1 black and white composition notebooks,black and composition notebooks,1
"3 p astic ])ocket folders with prongs (1 red, 1 blue. 1 green",folders,3
1 box of baby wipes,baby wipes,1
10 EXPO fine point cry erase mar Hers (A. B ac :),EXPO fine point cry erase mar Hers,10
"1 plastic pencil box (8 1/2 inc yes x 5 1/2 inc ,les)",plastic pencil,1
2 boxes of .K; eenex tissue,tissue,2
GIRLS ONLY:
box oft uart size Zi oc; lags,oft size lags,Multiple
Please label all sup
l'lplies with your child's nail
Fourth Grade SiirtnIt 1 kt
