Classroom Supplies: (No name labeling),Classroom,1
Please bring supplies in September.
"• 1 box, Round Pencils with Erasers, Sharpened (""My First"" beginner size)",box Round Pencils,1
"• 1 box, #2 Pencils, 12ct., Sharpened",box Pencils Sharpened,1
• 1 Box of Tissues- Kleenex,Tissues Kleenex,1
7• 1 Roll Paper Towels- Bounty/Scott,Roll Paper Towels Bounty Scott,7
• 1 Box of Baby Wipes,Baby Wipes,1
• 1 Box of Tall Kitchen Garbage Bags (Black),Tall Kitchen Garbage Bags,1
• 1 Bottle Pump Hand Soap,Pump Hand Soap,1
• 1 Bottle Hand Sanitizer,Hand Sanitizer,1
• 1 Box Quart -Size Ziploc Plastic Bags,Quart Size Ziploc Plastic Bags,1
• 1 Box Gai;oss-Size Ziploc Plastic Bags,Size Ziploc Plastic Bags,1
• 1 Large Container Clorox Wipes for Table Surfaces,Large Container Clorox Wipes,1
"• 1 Ream of White Copy Paper, 8 1 letter size",Ream White Copy Paper letter size,1
