i lil oip000 IP 12:42 PM a i If 37% Q
kfms.spsk12.nst
All Subjects
• 1 4 XIS c• -leaf paper,XIS leaf paper,1
• Pencils,Pencils,Multiple
• Blue or black ink pens,Blue ink pens,Multiple
• Highlighters,Highlighters,Multiple
:cr.; • (:efI(nett pencils
• (Glue sticks
drive) • USK f=lash I)nve (jump drive),drive lash,1
English
-1 • 1 ' : inch 3 ring binder -1,inch ring binder,1
• I)i► iclrrs
Pre -Algebra 8 and Alge 1
• 1' 2 inch 3 nng binder -1,inch binder,1
• Folder r w /prongs and pockets,Folder prongs and pockets,Multiple
ea Z • Divider,Divider,1
1 Science,Science,1
• 1 ' : inch 3 ring hinder -1,inch ring hinder,1
unt • Dividers,Dividers,Multiple
:cis -1 • 1 subject notetx K ok -
World Geography
-1 • 1 inch 3 ring hinder -- 1,inch ring hinder,1
• Dividers,Dividers,Multiple
Spanish
• 3 subject nutrb0 x Ik - 1,subject,3
1 F«iich
• 1 inch 3 ring binder - 1,inch ring binder,1
unt • Di% 'tiers - 1 n,tiers,Multiple
• l•.naIish-1 rcnch dictionin
Physical Education
• P.L. nito ►rnti
-- 1 • Combination lock (In Inure,Combination lock,1
Ii Iorrirn&s 111 m faker d#nnt c'hus),111 faker,1
