❑ Pencil pouch,Pencil pouch,1
n Blue or black pens,Blue pens,Multiple
No. 2 pencils,pencils,Multiple
1 Pencil sharpener,Pencil sharpener,1
El Highlighters,Highlighters,Multiple
❑ Permanent,Permanent,1
markers,markers,Multiple
Erasers,Erasers,Multiple
❑ Three-ring binder
❑ Three -hole -punch,Three hole punch,1
O Graph paper,Graph paper,Multiple
❑ Subject dividers,Subject dividers,Multiple
E Index cards,Index cards,Multiple
❑I Folders,Folders,Multiple
Loose-leaf paper,Loose leaf paper,1
or spiral notebooks,spiral notebooks,Multiple
❑ Glue,Glue,1
❑ Post -its,Post its,1
Q White -Out
El Protractor & ruler,Protractor ruler,1
Scissors,Scissors,Multiple
❑ Graphing calculator
Q Combination lock,Combination lock,1
:i Personal organizer/,organizer,1
calendar,calendar,1
I: Book socks,Book socks,Multiple
Backpack,Backpack,1
Lunc bag,bag,1
