For School
• Binder with dividers,Binder,1
• Loose-leaf paper,Loose leaf paper,1
• 5 subject notebook with folder dividers,subject notebook,5
• 2 marble notebooks,marble notebooks,2
• 3 folders,folders,3
• 10 shcct protectors,protectors,10
• Package of graph paper,graph paper,1
• Post -it notes,Post notes,Multiple
• Pencil sharpener with a lid,Pencil sharpener,1
• Package of pencils,pencils,Multiple
• Package of blue or black pens,blue pens,Multiple
• Box of tissues,tissues,Multiple
• 2 different color highlighters,different color highlighters,2
For Home
• Gear contact Da Der 1 or work)oo cs
• Cai'cu'ator
• ]'.2 inci i ru 'er
• :nc'ex ca rc's
• Scissors,Scissors,Multiple
• _oose- ea Da per
•  ionary
• Flash drive,Flash drive,1
• Library care',Library care,1
• POS'-jS
**********D
ease mote: These jpmc
