One 3 -ring binder2-3inch,One ring,1
4 one-subtect notebooks,one notebooks,4
1 three subject Mead (or plastic,three subject Mead,1
notebook cover),notebook cover,1
4 Composition Books,Composition Books,4
1 pack of graph paper,pack graph paper,1
2 packs of c ap erasers,pack erasers,2
1 pack of 12 fine tip markers.,pack fine tip markers,1
Pena - any color o th er th a n black for
grading
Zippered pencil pouchforsupplles,Zippered pencil,1
4 glue sticks,glue sticks,4
1 bottle hand sanitizes,hand sanitizes,1
�.. 1 container Clorox Wipes,container Clorox Wipes,1
"1 set of 5 (livid ers (for blade?,",livid,1
6 plastic 3 -prong fold a re milt pockets,plastic prong fold milt pockets,6
any color
1 set of headphones or earbuds,headphones earbuds,1
4 packs of lease teat paper,pack lease teat paper,4
4 dozen fl pencils,pencils,4
1 box colored p e ncds,colored,1
"2 highlighters, any color",highlighters any color,2
2 standard dry erase m ark•rs - any color,standard dry erase ark any color,2
2 thin (fine) dry erase markers- any corer,thin dry erase markers any corer,2
4 pack of clearacatch tape,pack tape,4
1 box Kleenex,Kleenex,1
Sc loose
