SEVENTH GRADE
"1.5"" ASST XTRALIFE D -RING VIEW BINDER",ASST RING VIEW BINDER,1
S -TAR MULTI COLORED INDEX PAPER DIVIDER,TAR MULTI COLORED INDEX PAPER DIVIDER,1
1 WIDE RULE 8 X 10.E FILLER PAPER 200 cr,WIDE RULE FILLER PAPER 200,1
1 QUAD RULED GRAPH PAPER (4 BOXES PER INCH),QUAD RULED GRAPH PAPER,1
PAPERMATE BLACK PEN MEDIUM POINT,BLACK PEN MEDIUM POINT,1
"1 12"" 1/16"" STANDARD/METRIC PLASTIC RULER",STANDARD METRIC PLASTIC RULER,1
"1 HIGHLIGHTERS -- 4 PACK (YELLOW, PINK, BLUE, GREEN)",HIGHLIGHTERS PACK,1
"12 NO,2 TICONDEROGA PENCIL LATEX FREE",TICONDEROGA PENCIL LATEX FREE,12
"1 CRAYOLA 7"" COLORED PRE SHARPENED PENCILS 12 C.",CRAYOLA COLORED SHARPENED PENCILS,1
1 Soft pencil case,Soft pencil case,1
1 3 X 3 YELLOW POST IT NOTES 4/so SHT PADS,YELLOW POST NOTES PADS,1
2 FACIAL TISSUE 100 a,FACIAL TISSUE 100,2
EIGHTH GRADE
