i 4 i A i i A i Ali i i A
Cordclb Elementary School
Grads 1 Supply Ust for 2016.2017,Grads,2017
• gilckpock without wheels
• 1 standard supply box (must fit in desk),standard,1
• 2- 24 pock of crayons (Croyola),pock crayons,2
• 1.24 pock of colored pencils (Crayola),pock colored pencils,1
• 6 dry e• markers,dry markers,6
• 1 pair of scissors (Fiskars or Wescott),scissors,1
• 2 plastic bottom pocket folders,plastic bottom pocket folders,2
• 1 pock of 3 large erasers,pock large erasers,1
• 4 marble composition notebooks,marble composition notebooks,4
• 3 boxes of sharpened #2 pencils (Ticonderoga),sharpened pencils,3
• 3 packs of 3x5 white unlined index cords,pack unlined index cords,3
• 12 glue sticks,glue sticks,12
• 2 container of baby wipes,container baby wipes,2
• 1 set of headphones (Nei aarbuds) be purchased at your l�J
dollar store,dollar store,1
• 1 box of Zsploc bags with slide slipper opening (gallon size),bags,1
"Ywr chifds tardwr may ragout additions, item it $w fa."
4 4 4 4 i AA AA AA 1 1
