files.constantcontact.com,files,Multiple
1of1
"2017-2018 Everest Academy Su;.;.:, list",Everest Academy,2017
Grade 3
Item and Description Quantity (Label Each with Child's Name) ✓,Item and Description Quantity,1
12 -Inch Ruler (With Metric),Inch Ruler,12
Crayola Classic Color Crayons,Crayola Classic Color Crayons,Multiple
Crayola Classic Color Washable Markers (Fine Tip),Crayola Classic Color Washable Markers,1
Crayola Colored Pencils,Crayola Colored Pencils,Multiple
Dry Erasers for White Boards,Dry Erasers,Multiple
Elmer's All School Glue (Liquid)
Eraser (Pink Beveled),Eraser,1
Glue Sticks,Glue Sticks,Multiple
Mead Notebooks (Sewn Binding) Primary Composition Book Full Page,Mead Notebooks Primary Composition Book Full Page,Multiple
Non -Toxic Low -Odor Dry Erase Markers (Black)
"Pencil Case, Zippered (No Pencil Boxes)",Pencil Case Zippered,1
Pencils - Sharpened #2,Pencils Sharpened,2
"Pens, Red (Medium Point)",Pens Red,Multiple
"Plastic Heavy Duty 2 -Pocket, 3 -Prong Folder (Solid Colors)",Plastic Heavy Duty Pocket Prong Folder,1
"Multipurpose Copier/Printer Paper 8 1/2"" x 11"" - Ream of 500",Multipurpose Copier Printer Paper Ream,500
Rosary and Small Rosary Pouch 1,Rosary and Small Rosary Pouch,1
Scissors 1,Scissors,1
Sharpie Accent Highlighter 2,Sharpie Accent Highlighter,2
"Large (Black, Green, and Blue)"
Text Book Covers Small (Purple)
USB Memory Stick (Flash/Jump Drive) 1 (8 GB Minimum - Preferably on a Keychain or Lanyard),Memory Stick Flash Jump Drive,1
Hand Sanitizer 1 bottle,Hand Sanitizer,1
1
1 Box of 24
1 Box of 8
1 Box of 24
2
1 Multi -Purpose 4 oz. Bottle,Multi Purpose,1
1
2 Sticks,Sticks,2
4 Single Space (NOT Dotted Line),Single Space,4
2 Packages of 4 (Black)
1
3 Dozen
2 Pens,Pens,2
"Blue, Red, Black, Yellow, Green, Orange, Purple, White (One of Each)",Blue Red Black Yellow Green Orange Purple White,1
"Possible colors: yellow, green, blue, pink, lavender, orange, Christmas green/red"
