"1— Three inch, zippered binder",Three inch zippered binder,1
2 —Yellow highlighters,Yellow highlighters,2
1— Lined composition book,Lined composition book,1
"1 —Three subject, college rule, spiral notebook",Three subject college rule spiral notebook,1
1— Package of Y4 inch graph paper,inch graph paper,1
1— Blue ball point pen i;no gel or multi -colored pensli
1- 12 count package of yellow #2 pencils,pencils,1
1-12 count package of sharpened colored pencils
"2 — Plastic, two pocket folders ;1 red and 1 yelrowjl",Plastic two pocket folders,2
1— Package wide rule loose leaf paper,wide rule loose leaf paper,1
"1— Yellow, one subject, college rule, spiral bound notebook",Yellow one subject college rule spiral bound notebook,1
"1— Blue, one subject, college rule, spiral bound notebook",Blue one subject college rule spiral bound notebook,1
"1— Green, one subject, college rule, spiral bound notebook",Green one subject college rule spiral bound notebook,1
"B — Plastic, 3 -hole punched dividers, NO pockets",Plastic hole punched dividers pockets,Multiple
4 — Large glue sticks 1:Elmer's preferred),Large glue sticks Elmer preferred,4
1— Ruler with inches and centimeters,Ruler,1
"6 — Black, Expo brand, chisel tip dry erase markers",Black Expo brand chisel tip dry erase markers,6
"1— Canvas, 3 -hole punched, zipper supply pouch i'separate from binder)",Canvas hole punched zipper pouch separate from binder,1
1— Pair of scissors (Fiskar brand preferred),scissors,1
"1— Plain front, two subject, spiral bound, college ruled notebook with binder holes",Plain front two subject spiral bound college ruled notebook,1
1 —Twelve pack erasers (Arrow+. Head brand preferred),Twelve pack erasers,1
1— Package of baby wipes,baby wipes,1
1—Small/Medium bottle of alcohol free hand sanitizer,Small Medium alcohol free hand sanitizer,1
1— Tube/Container food safe antiseptic wipes,Tube Container food safe antiseptic wipes,1
1— Large box facial tissues,Large facial tissues,1
"2 — Large, rectangular Pink Pearl erasers",Large rectangular Pink Pearl erasers,2
1— Box f-eezer gallon size Z pioc bags,Box size bags,1
1— Box quart ze Zioloc bags,quart bags,1
1 Box nd► . ch size plc'c bags --,size bags,1
