7-18 School Supply List
First Grade
1 Scissors,Scissors,1
24 Pencils (no mechanical pencils),Pencils,24
2 pkgs erasers,erasers,2
2 Boxes crayons (24 count),crayons,2
1 Set of washable markers,washable markers,1
1 Bottles of glue (8 oz) and 4 glue sticks,glue and glue sticks,1
1 1 inch Binder w/clear view front and,inch clear view front,1
inside pocket
3 Vinyl folders with pockets and brads,Vinyl folders,3
"(red, yellow, and blue)",red yellow and blue,1
1 Spiral notebook (60-100 pages),Spiral notebook,1
2 Composition journal (primary),Composition journal,2
1 Plastic supply box (5x8),Plastic,1
2 Large boxes tissues,Large tissues,2
1 Box zip lock bags,zip lock bags,1
"Girls: quart/gallon, Boys: snack size)"
1 Backpack,Backpack,1
1 Primary journal (may purchase in office),Primary journal,1
