••©o Thumb Cell r 6:44 PM,Thumb Cell,1
"bari s.badsxeps,schooiciesk.net",net,1
30%C>
• Scissors,Scissors,Multiple
• Post -it notes,Post notes,Multiple
Pind1thrade
• Pencils,Pencils,Multiple
• Pencil top erasers,Pencil top erasers,Multiple
• Pens,Pens,Multiple
• Lined paper or notebooks,Lined paper notebooks,Multiple
(College ruled),College ruled,1
• Highlighters - 5 colors,Highlighters colors,Multiple
• Two -pocket folders. 6-7,Two pocket folders,7
(one for each class)
fi!u(fpr irgrair AWN
• Rubber soled tennis,Rubber soled tennis,1
shoes for Gym,shoes,Multiple
• Flash drive,Flash drive,1
• Pencil box,Pencil,1
• Calculator IT - 3OXIIS,Calculator,1
• Colored pencils,Colored pencils,Multiple
• Index cards - Spiral bound,Index cards Spiral bound,Multiple
3x4 or 4x6 (Wolverton -
Math)
