4 GRADE SUPPLY LIST FOR 2017-,FOR 2017,4
2018
2 -Large 1.27oz Glue Sticks (White Only)/,Large Glue Sticks,2
1 -Box of 10 Count Classic Washable Color Markers /,Box Classic Washable Color Markers,1
2 -Highlighter,Highlighter,2
1 -Box of 12 Count Colored Pencils or Crayons Classic Colors,Box Colored Pencils Crayons Classic Colors,1
1 -Box #2 Pencils Sharpened //,Box Pencils Sharpened,1
1 -Box Pencils (Mechanical Optional),Box Pencils,1
1 -Package of Erasable Pens (Blue & Black only),Package Erasable Pens,1
- 2 -Red Pens,Red Pens,2
1 -Package Loose Leaf Paper (Wide Ruled),Package Loose Leaf Paper,1
5 -Marble Notebooks labeled with student's name,Marble Notebooks labeled,5
1 -Package Construction Paper,Package Construction Paper,1
- 1 -Package of Post It Notes,Package Post Notes,1
"- 1-3"" x 5"" Lined Index Cards",Lined Index Cards,1
7 -Horizontal pocket folder - Name on the outside,Horizontal pocket folder Name the outside,7
1 -Scissors (Fiskar Type - Pointed),Scissors,1
"1-12"" Ruler/Metric",Ruler Metric,1
1 -Pocket Dictionary,Pocket Dictionary,1
2 -Soft Standard Size Pencil Case,Soft Standard Size Pencil Case,2
1 -Roll of paper Towel,Roll paper Towel,1
2 -Box Tissues (200 Count),Box Tissues,2
1 -Refill pack of Baby Wipes,Refill pack Baby Wipes,1
SUPPLIES REQUESTED BY SPECIALS - Please label and place in a separate bag for specials:,REQUESTED SPECIALS Please label and place separate bag,Multiple
1-1 Subject Spiral Notebook with pockets - Music,Subject Spiral Notebook,1
"2 -Box #2 Pencils Sharpened - Music & Art ,/",Box Pencils Sharpened Music Art,2
"3 -Horizontal pocket folder - label with Name & Subject -Music, Spanish & Technology/Library",Horizontal pocket folder label,3
1 -Boutique Size Tissues - Spanish,Boutique Size Tissues Spanish,1
1 -Box of 12 Count Colored Pencils - Art,Box Colored Pencils Art,1
1 -Black Sharpie - Art,Black Sharpie Art,1
"1-12"" Ruler/Metric - Art",Ruler Metric Art,1
1 -Flash Drive labeled & kept in students pencil case - Technology/Library
1 -Container of Lysol/Clorox Wipes - Technology/Library,Container Lysol Clorox Wipes Technology Library,1
