5th CRADE
6th (
3(' -2 Shai pened Pencils 36
1 Box of 12 Fray°la colored pencils 1 1,Fray colored pencils,1
1 24 count box ofCrayola crayons 2,crayons,1
1 - ox of vkashable Crayola markers 1,Crayola markers,1
I Elmer 's School Glue No Gel 1,Elmer Glue Gel,1
1 1 `` ruler with standard and metric 2,ruler,1
markings 1,markings,1
1 Package 10 count red pens 1--,pens,1
1 100 count 3x5 lined index cards 2-,lined index cards,1
1 Pair pointed scissors cli
2 Packages 150 count wide -Lined 2 —,150 wide Lined,2
"Loose '.eaf paper 1Le,",Loose paper,1
1 Composition Jouniaj boob 2-,Composition boob,1
1 3 -subject wic.e ined spiral 1 -,subject spiral,1
"notebook 1 1"" B inc .er (Banc Stuc .eats On .y) (' E",notebook inc eats,Multiple
"]Large fabric zipper bag (7""x9"") 1-",Large fabric zipper bag,1
1. Large plastic box will : Zingec .:.ic . 1-
2 Large boxes of tissues 1-,Large tissues,2
1 Separate pair of gyin sloes with 3 -,Separate sloes,1
"non -marking soles and, socks. 6-",non marking soles and socks,6
8 Paper grocery bags 1-,Paper grocery bags,8
"1 13 -pocket expandable file folder (n,",pocket file folder,1
(nylon recommended) 1--
1 ESV Bible,Bible,1
