MIDDLE SCHOOL SUPPLY LIST,MIDDLE,1
i
6th GRADE ENGLISH
*1 - 1.5_inch blue binder,inch binder,1
*100 page composition book,page composition book,100
Handheld enclosed pencil sharpener,Handheld enclosed pencil sharpener,1
Black or blue ink pens,Black ink pens,Multiple
Pencils and pencil pouch,Pencils and pencil pouch,Multiple
Red pens for correcting,Red pens,Multiple
Highlighter,Highlighter,1
Box of tissues for English teacher,tissues,Multiple
Pencil cap erasers,Pencil cap erasers,Multiple
6th GRADE SCIENCE
Green spiral notebook,Green spiral notebook,1
Green folder,Green folder,1
Loose leaf notebook paper - not in binder
Pencils/pens,Pencils pens,Multiple
Red pens,Red pens,Multiple
Highlighters,Highlighters,Multiple
Colored Pencils,Colored Pencils,Multiple
6th GRADE MATH
2 Yellow folders with pockets,Yellow folders,2
Lined notebook paper,Lined notebook paper,1
Yellow spiral notebook for note taking,Yellow spiral notebook,1
Pencils (numerous),Pencils,Multiple
Red pens for correcting,Red pens,Multiple
Calculator - TI-30XIIS,Calculator,1
(solar recommended),solar recommended,1
Pencil cap erasers,Pencil cap erasers,Multiple
Handheld enclosed pencil sharpener,Handheld enclosed pencil sharpener,1
6th GRADE SOCIAL STUDIES
Red 2 -pocket folder,Red pocket folder,1
"Lined paper RED notebook (2), 1 for each",Lined paper RED notebook,1
semester,semester,1
Black or blue ink pens and pencils,Black ink pens and pencils,Multiple
Handheld enclosed pencil sharpener,Handheld enclosed pencil sharpener,1
Red correcting pens,Red correcting pens,Multiple
Glue stick,Glue stick,1
Colored pencils,Colored pencils,Multiple
