Number Item,Number Item,1
12 #2 Pencils,Pencils,12
1 box 24 et. Crayola Crayons,Crayola Crayons,1
"1 5"" Pointed Fiskar Scissors",Pointed Fiskar Scissors,1
2 Wide -ruled Composition Book (70 e),Wide ruled Composition Book,2
2 Spiral Notebooks,Spiral Notebooks,2
10 Pocket Folders w/ Brads -different colors,Pocket Brads different colors,10
1 box Crayola Classic Broad -tip Washable Markers,Crayola Classic Broad tip Washable Markers,1
"1 12"" Standard/Metric Ruler",Standard Metric Ruler,1
1 Elmer' s White Glue 8 oz.,Elmer White Glue,1
1 Glue Sticks (2-pk.),Glue Sticks,1
1
2
Zipper Supply Pouch,Zipper Pouch,1
Red Pens,Red Pens,Multiple
1 2 3 -Ring Binder (No Trapper Keeper),Ring Binder,1
2 200 et. Wide -ruled Notebook Pa,Wide ruled Notebook,2
Paper,Paper,1
1 set Dividers with 8 Tabs,Dividers,1
1 12 et. Colored Pencils,Colored Pencils,1
1 Highlighters (2-pk.),Highlighters,1
1 Blue or Black Ballpoint Pens,Blue Black Ballpoint Pens,1
17 1�(V Q WW1 csn»nt TtlPana�r �'icc�� C Pkg. 10)
