"asstClassic Colors, wiue",Colors,Multiple
"1 - Cra Markers, �� Ruled, 100/Pk, White",Markers Ruled 100 White,1
"2 - Index Cards, 3"" x 5",Index Cards,2
2ND GRADE
",st , 4/Pk 1 - Staples Notebook, 1 Sub, WR, Perf, 70 Ct., Asst."
"1 - Binder, 3 Ring, Heavy Duty, View, 0.5"", White",Binder Ring Heavy Duty View White,1
"3 - Kleenex Facial Tissue, 'Kleenex', 2 -Ply, 85 Ct., White",Kleenex Facial Tissue Kleenex Ply White,3
"35 Ct 1- Hand Sanitizer, Antibacterial, Gel, Flip Top, 8 oz.",Hand Sanitizer Antibacterial Gel Flip Top,35
"1 - Binder, 3 Ring, Heavy Duty, View, 1"", Black",Binder Ring Heavy Duty View Black,1
"3 1- Westcott Scissors, 5"", Pointed Tip, Latex Free, Asst.",Scissors Pointed Tip Latex Free Asst,3
"hite 1 - Sargent Art Markers, Washable, Wide Tip, 8/Set",Sargent Art Markers Washable Wide Tip Set,Multiple
"Set 2 - Composition Book, Marble Cover, WR, 100 Sheets,",Composition Book Marble Cover 100 Sheets,1
BLK 3
(Pu
"1- Sargent Art Pencils, Colored, 7"", Sharpened, l2/Set",Sargent Art Pencils Colored Sharpened Set,1
ront
"1 - SchoolKidz Folders, 2 Pocket, 4Pk, Be/Rd/Gn/Yw",Folders Pocket,1
"1 - SchoolKidz Folder, 2 Pocket, 14 Pt., Orange",Folder Pocket Orange,1
".88 1- C -Line Folder, Poly, 2 Pocket, 3 Hole, Yellow",Line Folder Pocket Hole Yellow,88
"1- C -Line Folder, Poly, 2 Pocket, 3 Hole, Blue",Line Folder Pocket Hole Blue,1
1 3
"- Dixon Pencils, #2, Oriole, Sharpened, Latex Free, Dz",Dixon Pencils Oriole Sharpened Latex Free,Multiple
4 Elm,Elm,4
"er's Glue Stick, Washable, Purple, Dries Clear, .21 oz.",Glue Stick Washable Purple Dries Clear,1
"- Elmer Glue, Sc Washable 4 oz., White",Elmer Glue Washable White,1
Dz. 1 .
"z. 4 - Expo 2 Marker, Dry Erase, Chisel Tip, Low Odor,  r-_ t -a"""
2 Expo 2 Ma,Expo,2
"rker, Dry Erase, Chisel Tip, Low Odor, Red",Dry Erase Chisel Tip Low Odor Red,1
"rd Dudes Eraser, Dry  / Chalkboard"
1 al /Board Red,Board Red,1
"2 - Staples Pen, Stick, Medium Point,",Staples Pen Stick Medium Point,2
"1-Crayoa Crayons, Cra ons, Crayola, Tuck Box, 24/Box",Crayons ons Crayola Tuck Box Box,1
2
"- Staples Eraser, Pink, Large, Latex Free"
"2 - Papemrate Pen Felt Tip, Ti, 'Flair', Medium Pont, Black",Pen Felt Tip Flair Medium Black,2
"Pencil Plastic, 8 x  x 2"", Asst.",Pencil Plastic Asst,1
"1 -Staples Box,",Staples Box,1
2 p
"Wi es Disinfect, Bleach Free, Canister,",Disinfect Bleach Free Canister,1
35 Ct.
t
2 .. C-#��
"• Sheet Prat ec;tors, letter Size, Clear, 10 P",Sheet tors letter Size Clear,Multiple
