Miss Maxon's Third Grade Supply List,Miss,1
1. 8 black -and -white marble notebooks; labeled with child's full name and/or:,and white marble notebooks labeled,1
"""English Language Arts,"" ""Journal,"" ""Mathematics,"" ""Religion,"" ""Science,"" ""Social",English Language Journal Mathematics Religion Science Social,Multiple
"Studies,"" ""Spanish,"" and ""Spelling"""
"2. 2 plastic folders; labeled with child's full name and ""Class Work"" and ""Spanish""",plastic folders labeled,2
3. 2 24 -packs of pre -sharpened pencils,packs sharpened pencils,3
4. 2 packages of non -erasable black pens with caps,non erasable pens,4
5. 2 24 -packs of crayons,packs crayons,5
6. 3 packages of white computer paper,computer paper,6
7. 3 containers of Lysol (or other name brand) cleaning wipes,containers Lysol cleaning wipes,7
8. 2 boxes of tissues,tissues,8
9. 2 rolls of paper towels,rolls paper towels,9
10.2 pump -top bottles of hand sanitizer,pump top hand sanitizer,10
11. 1 package of paper plates,paper plates,11
12. 1 12 -inch ruler with centimeter side,inch ruler,12
r r
