••000 Vsrizon IP •:3I PM * • 30% I ►
"August 27, 2017, 9:35 PM"
Red plastic folder,Red plastic folder,1
Red plastic spiral notebook,Red plastic spiral notebook,1
Purple plastic folder,Purple plastic folder,1
Purple plastic spiral notebook,Purple plastic spiral notebook,1
Green plastic folder,Green plastic folder,1
Green spiral notebook,Green spiral notebook,1
Blue plastic folder,Blue plastic folder,1
Blue plastic notebook,Blue plastic notebook,1
Yellow plastic folder,Yellow plastic folder,1
Yellow spiral notebook,Yellow spiral notebook,1
Orange plastic folder,Orange plastic folder,1
Orange spiral notebook,Orange spiral notebook,1
Pink plastic folder
Pink spiral notebook
Pencil bag,Pencil bag,1
Mechanical pencils,Mechanical pencils,Multiple
Expo marker,Expo marker,1
Big sticky notes,Big sticky notes,Multiple
Small sticky notes,Small sticky notes,Multiple
Ak
