JAuguft••
bc'. (r.+yonS
"13 t►tio porr.r•t prdsr,c folders",folders,13
"1: pA X,' •egural pen(;IS W/erdSerS",pen,1
/2 .irge rrdsers
"1 ` Prrrr.ir red arc, blue lined tablet",red arc lined tablet,1
12 boxes tissues,tissues,12
11 bottle K hrte glue,glue,11
J2 4 p glue sticks,glue sticks,Multiple
I container green tennis balls,container tennis balls,Multiple
/1 pk classic color washable 10 ct markers,classic color washable markers,1
Cornerstone Supply Lost,Cornerstone Lost,1
August••
1 pair blunt tctssots,blunt,1
2 pks dry eraser markers,dry eraser markers,2
1 container baby/dfs+ntrctant wipes,container baby wipes,1
BOYS 1 box liplock Galion sne bags,BOYS bags,Multiple
GIRLS 1pk 1iplock Sandwich lags
1 supply box
1 book bag,book bag,1
1-pk mutt« -colored constructoon paper,mutt colored paper,1
1
January,January,1
11 • contalr►et baby l d+toniectsnt wet,baby wet,11
11 •box standard crayons,box standard crayons,11
11-00 regular pencils w 1 er aver%,regular pencils aver,11
12 -boxes tissue%,boxes tissue,12
1 -box washable markers,box washable markers,1
1-4pk give stacks,give stacks,1
1
Lt -bottle what %tut
�2-plc dry erase markers,dry erase markers,2
L i-box Zipbck Gallon sIYt bags,box bags,Multiple
1
GtRL5--1pk Zlplocic Sandwich tags,Sandwich tags,Multiple
1
lant tam,tam,1
