"..de s :, List"
Se ore out shopp. thissu ..__r suppises rtsar ore raoedcd for
n Grade art
supply pencilswitfi cr-ascrs
• a s of ?t2
(Ticonderoga Brand are bast suited for use
"• at least 2 pink, beveled e-a..e.a bar t. ----",least pink beveled bar,1
"• 2 dry erase markers, any color and thicker ones",dry erase markers any color and thicker ones,2
"best for Young hands at thie bcgi nning of 2""` y. -"
• 2 marbled composition notebooks (wide rube is best),marbled composition notebooks,2
• Crayons and/or colored pencils for desk,Crayons and colored pencils,Multiple
• 2 boxes of Kleenex for c supply,Kleenex,2
• 3 -4 Glue Sticks,Glue Sticks,3
• 1 Highlighter - arry color,Highlighter color,1
• 2 -pocket folders,pocket folders,2
No clasps on the folders and
"(Ms. O'DeIrs Cle,e — ''s 2)"
(Mrs. Buckley di Mrs. Korpf's G - T'! 1 red.,Buckley red,1
2 green de then 1 of your own choice),then your own choice,2
Art Class,Art Class,1
• A .smock,smock,1
• A Sketch Pad,Sketch Pad,1
no T.
Thank you for your cooperation. We .y looking forward to an
A WESOME year aha.4!,year aha,4
