Third Grade
Please label with first & last name,Please label,1
Backpack,Backpack,1
"1 nylon, zippered pencil pouch with vinyl window",nylon zippered pencil pouch,1
1 set personal headphones,headphones,1
1 pair Fiskar scissors,Fiskar scissors,1
2 boxes 24 -count Crayola crayons,Crayola crayons,2
1 Durable View Binder (1 inch),Durable View Binder,1
"8-10 heavy duty, non -glare page protectors",heavy duty non glare page protectors,8
2 WIDE rule Composition books,WIDE rule Composition books,2
3 WIDE rule spiral notebooks (solid colors --no,WIDE rule spiral notebooks,3
"logos, no designs)",logos designs,Multiple
3 plastic pocket folders wi hout prongs (solid,plastic pocket folders prongs,3
color: Green or Red),color Green Red,1
2 boxes 24 -count Dixon Ticonderoga yellow,Dixon Ticonderoga,2
pencils (sharpened),pencils,Multiple
1 pkg. of Pink Pearl Erasers,Pink Pearl Erasers,1
1 pkg. Multipack glue sticks,glue sticks,1
1 bottle Elmer's glue,Elmer glue,1
"2 pkgs 4 -count chisel point, black, low odor, dry_",chisel point black low odor dry,2
erase markers,erase markers,Multiple
"2 reams 8.5x11"" white OR colored copy paper",reams colored copy paper,2
1 pkg. WIDE rule lined notebook Pper,WIDE rule lined notebook,1
1 pkg hand -friendly wipes or Clorox wipes,hand friendly wipes Clorox wipes,1
1 bottle hand sanitizer,hand sanitizer,1
3 boxes Kleenex and/or tissues,Kleenex and tissues,3
