.a Art Supply
3 Ring binder,Ring binder,3
Loose Leaf Paper,Loose Leaf Paper,1
PenSTencils
Composition Notebook,Composition Notebook,1
Post it Notes,Post Notes,Multiple
f Marker,Marker,1
Glue Stick,Glue Stick,1
Colored Pencils,Colored Pencils,Multiple
Dividers,Dividers,Multiple
Science:
2 Composition Notebooks,Composition Notebooks,2
Glue Sticks or Bottle
Pens/Pencils,Pens Pencils,Multiple
Loose Leaf Paper,Loose Leaf Paper,1
Regular Social Studies:,Regular Social Studies,Multiple
Spiral Notebook,Spiral Notebook,1
Pen or Pencil,Pen Pencil,1
Highlighters,Highlighters,Multiple
Colored Pencils,Colored Pencils,Multiple
8th Grade PreAP World History:,World,1
2 -inch 3-ringBender,inch,2
Colle Subject Dividers,Subject Dividers,Multiple
ge Ruled Loose o Pen or P Leaf Paper,Ruled Loose Pen Leaf Paper,1
Assorted Highlighters,Assorted Highlighters,Multiple
Colored pencils,Colored pencils,Multiple
math
Loose Rn Binder (1,Loose Binder,1
�eafP /2 minimum),minimum,1
per
f
Graph Paper,Graph Paper,Multiple
S'i J)Je4f-'u Function tion Calculator,Function Calculator,1
