John C. Myers Elementary School Student Supplies List 2017-2018,John Myers 2017,2018
"y w **you may bring items to school on Meet the Teacher Night"""
Pre -K Class,Class,1
- 1 white t -shirt (please get one size larger than your child currently wears),shirt,1
1 regular sized backpack (no wheels please) 1 1 1,regular sized backpack,1
_ 2 Changes of Clothes (each set should be in a Ziploc with your child's name on them):,Changes Clothes,2
"1 set of shorts, short sleeved shirt, underwear, socks and 1 set of long pants, long sleeved shirt, underwear, socks"
L 1
Klnderaarten Class,Class,1
10 glue sticks _ L -,glue sticks,10
1 pair of kid scissors (with metal blades',kid scissors,1
1 box of 24 crayons,crayons,1
. of washable markers,washable markers,Multiple
2 black dry erase markers,dry erase markers,2
2 one -subject notebooks (wide -rule),one subject notebooks,2
"1 box of zipper baggies (boys -quart, girls -gallon)",zipper baggies,1
1 container of wet antipacterial wipes 1,container wet wipes,1
1 bath towel for rest (labeled w/ name)- no mats please,bath towel,1
A change of clothes (in baggie labeled w/ name),change clothes,Multiple
"(including socks, underwear, shirt & pants)"
1 regular size book bad (no wheels},regular size book bad,1
Jumbo craft sticksl,Jumbo craft,1
1st Grade
4 pack Dry Erase Expo Markers,pack Dry Erase Expo Markers,4
1 pair_of scissors!,pair scissors,1
1 box of 10 count markers - Classic Colors,markers Classic Colors,1
12 glue sticks 1,glue sticks,12
24 pack of crayons,pack crayons,24
1 container Lysol wipes,container Lysol wipes,1
1 container of baby wipes _ _,container baby wipes,1
"11 wide ruled, single subject s viral notebook __",wide ruled single subject viral notebook,11
pack of cap erasers,pack cap erasers,Multiple
Hard Pencil box (8 3/8x 5 5/8 x 2 1/8),Hard Pencil,1
Quart sized SLIDERS ziploc bags (girls),Quart sized SLIDERS ziploc bags,Multiple
Gallon_ sized SLIDERS ziploc bags (boys),Gallon sized SLIDERS ziploc bags,Multiple
1 pack of pipe cleaners - any color (boys),pack pipe cleaners any color,1
1 roll of Scotch tape (girls),roll Scotch tape,1
2nd grade —_
baby wipes,baby wipes,Multiple
1 composition notebooks,composition notebooks,1
pencil pouch/box,pencil pouch box,1
4- —
cap erasers,cap erasers,Multiple
box of 24 crayons,crayons,Multiple
scissors 1,scissors,1
12 glue sticks,glue sticks,12
2 spiral notebook,spiral notebook,2
2 dozen #2 yellow pencils,pencils,2
box of baggies - girls (sandwich) - boys (snack)
"colored pencils ,",colored pencils,Multiple
highlighter,highlighter,1
1 pack of mini craft sticks (boys),pack mini craft sticks,1
L1 pack of pom-pom bafls__(giris)__,pack,1
3rd Grade
1 spiral notebooks (1 subject),spiral notebooks,1
1 dozen #2 pencils,pencils,1
8 glue sticks,glue sticks,8
1 box of markers,markers,1
1 pair of scissors,scissors,1
1 two-inch 3 -ring binder,two inch ring binder,1
1 box 24 crayons 1,crayons,1
1 box of zipper baggies,zipper baggies,1
- Girls (gallon) -Boys (Quart),Girls gallon Boys,Multiple
1 container disinfecting wipes,container disinfecting wipes,1
11 box cap erasers T,cap erasers,11
1 pencil pouch w/ 3 holes for binder,pencil holes,1
1 folder with 3 holes for binder,folder,1
11 package pipe cleaners- boys,pipe cleaners boys,11
mini craft sticks -_girls,mini craft sticks girls,Multiple
4th Grade
"2 - 1.5"" 3 ring Binder - NO Trapper Keepers",ring Binder Trapper Keepers,2
"',1 pack 5 -subject dividers 1",pack subject dividers,1
2 packages of yellow #2 pencils,pencils,2
11 pack dry erase markers,pack dry erase markers,11
_ 8_glue sticks,glue sticks,8
pencil cap erasers,pencil cap erasers,Multiple
scissors 1,scissors,1
1 pack highlighters,pack highlighters,1
300 sheets loose leaf paper_- WIDE RULED,sheets loose leaf paper WIDE RULED,300
1 composition notebook,composition notebook,1
1 - 2 pocket folder,pocket folder,1
clorox wipes,clorox wipes,Multiple
3 -Ring soft pencil pouch for binder,Ring soft pencil pouch,3
1.
5th Grade
Scissors 1,Scissors,1
6 glue sticks- any size,glue sticks any size,6
1 container disinfectant wipes,container disinfectant wipes,1
"- 1"" sturdy binder 1",sturdy binder,1
!Girls -Gallon size bags/ Boys -Quart size bags
1 pack twistable colored pencils,pack colored pencils,1
1- 4 pack 1 dry erase markers,pack dry erase markers,1
1 highlighters,highlighters,1
124 pencils 1 1,pencils,124
1 marble composition notebook,marble composition notebook,1
3 spiral one subject notebooks 1,spiral one subject notebooks,3
11 zippered pencil pouch for binder,zippered pencil pouch,11
