•••o<- cricket LTE 2:39 PM C' 1 6% C,cricket,1
yonkerspublicschools.org
5th Grade 5i: tip,tip,1
5 Marble notebooks,Marble notebooks,5
1 Pack of index cards,Pack index cards,1
1 Homework pad,Homework pad,1
1 Container Clorox wipes,Container Clorox wipes,1
1 Binder,Binder,1
2 Packs of loose leaf paper,loose leaf paper,2
1 Pack of colored construction paper,Pack colored construction paper,1
1 Pack of pencils,Pack pencils,1
1 Box of crayons,crayons,1
3 Glue sticks,Glue sticks,3
1 Pair of scissors,scissors,1
1 Headset,Headset,1
1 Box of tissues,tissues,1
1 Container of hand sanitizer,Container hand sanitizer,1
