W s ... .sm.
"with chimichurri, chayote"
"squash, tostones, piquillo",squash,1
"pper-charred tomato sauce,",charred sauce,1
cilantro -radish salad.,cilantro radish salad,1
23.50
seared with grapefruit -chile,seared,1
roasted chubby carrots & fin,roasted chubby carrots fin,Multiple
"potatoes, cucumber &"
"ton Cato salsa, shishito pepl",ton Cato salsa,1
24.00
SANDWICHES,SANDWICHES,Multiple
Pulled Pork Sandwich,Pulled Pork Sandwich,1
hour hickory smoked pork shoulder in bodacious BBQ,hour hickory smoked pork shoulder BBQ,1
p
ed with cherry bomb slaw on a big bun. Served. with fr
Calabria Lamb Burger*,Lamb Burger,1
"Led house ground. I .amb with t Tutto Ca..a Dria ' pe D Ders,",Led house ground,1
";tec' garlic & bacon. Served . on Cia"" )atta wit 1 ' Dic, .ed L re(",wit,1
")n, arugu::a & goat c: geese s: xreac .. Servec . wit a stew, c fri4",goat geese wit stew,1
", urger*",urger,1
"r-gri....ec : 7 oz. ,urger servec . wit.1 fries.",urger wit fries,Multiple
S:1ar� C'1ec .c .ar or • D..eu cl Aeese for a ' 31.1C. K. gf
•a & B::ac: c Bean Burger,Bean Burger,1
cieese sc:'lmearec . Cia'atta wit:1 a c uic: c fried . victory
er to D Dec wit:1 carame:.izec . onions & mus :irooms. v
BRICK UVEN PIZZAS,BRICK PIZZAS,1
it Squash,Squash,1
"eese, iDancetta„ mozzare....a,1:u1:1:o ca:.a Dria ' De+ D' Ders"
R
"lace mozzare....a, � gyres 3asi.. Domoc .oro sauce.",lace sauce,1
t
