r Grade supply ut
2017-2018
Items to be kept by student:
"Pencils and lead tf wc•nq mecr+a,►co+ pencils",Pencils and lead pencils,Multiple
Pens (blue or black),Pens,Multiple
i red pen,pen,1
Notebook poptr I;laose leaf),Notebook leaf,1
1 Pair of torbuet
4 binders,binders,4
4 Sets of &linders for brnders,Sets,4
3 spiral bound notebooks,spiral bound notebooks,3
3 folders,folders,3
11 - 30XII5 Calculator,Calculator,11
Items to bs collected by t+sochier:
4 Boxes of tsssves
1 roil paper towels,roil paper towels,1
1 Box of colored pencil=,colored pencil,1
1 Bci of markers,markers,1
6 Give st )c ks
4 Highlpghtsn
