Sucrcies-ec
5tUcet Su ies
dMi' Acctc erny - igh Schoo
4
-One - 3 3 -Ring Binder,One Ring Binder,1
-Notebook Paper,Notebook Paper,1
-One set 8 -tab Dividers,One tab Dividers,Multiple
Ci• ht (8) College -Rule Spiral Notebooks,College Rule Spiral Notebooks,Multiple
9 -Pens,Pens,9
-Pencils,Pencils,Multiple
-Dictionary
•
Highlighters,Highlighters,Multiple
-Requirement—Graphing Calculato The most updated '1 1-83,Requirement Graphing The most updated,83
(All students who have a  and / or science class)
-2016-2017 Student Agend Book,Book,2016
