'Number ' Item,Number Item,1
12 #2 Pencils,Pencils,12
1 box 24 ct. Crayola Crayons,Crayola Crayons,1
"1 5"" Pointed Fiskar Scissors",Pointed Fiskar Scissors,1
2 Wide -ruled Composition Book (70 pale),Wide ruled Composition Book,2
2 Spiral Notebooks,Spiral Notebooks,2
10 Pocket Folders w/ Brads -different colors,Pocket Brads different colors,10
1 box Crayola Classic Broad -tip Washable Markers,Crayola Classic Broad tip Washable Markers,1
"1 12"" Standard/Metric Ruler",Standard Metric Ruler,1
1 Elmer' s White Glue 8 oz.,Elmer White Glue,1
1 Glue Sticks (2-pk.),Glue Sticks,1
1 Zipper Supply Pouch,Zipper Pouch,1
2 Red Pens,Red Pens,2
"1 2"" 3 -Ring Binder (No Trapper Keeper)",Ring Binder,1
2 200 ct. Wide -ruled Notebook Paper,Wide ruled Notebook Paper,2
1 set Dividers with 8 Tabs,Dividers,1
1 12 ct. Colored Pencils,Colored Pencils,1
1 Highlighters (2-pk.),Highlighters,1
1 Blue or Black Ballpoint Pens (pkg. 10),Blue Black Ballpoint Pens,1
17 h(IYQ :7(1(1 rnnnt ¥1p -. r T1cQ77Pc
