"IRA NS 1.'1'1(1.N AL. IclISPIAGABILNIIK011,91fil.,,Itii",IRA,1
1.1.s( )f 1 imhi I�lui le ir►i�
I 1.--‘t ►N k l' I.'tlx l coin' ink,coin ink,1
a 1 rtotitt h s►1 vIiili copy vapor,copy vapor,1
i 1 rnrtlttluck haler,haler,1
u 1 !Hick t►1 lul►ulwtking (►uiw► (Red hc►sc1irwd rifled newsprint,Hick,1
")►►&. pad, u) nlut h !nixed c'olorM (lilac 1►t)iiiI) -- 1",pad nixed,1
"8_I0 I,11upc'"
I I'siir of regular hlsrrll rsci sore A,regular sore,1
•
"13 I 'Older will, lluc:kels"
a 1 roll all transparent tape
a 1 pack of (100) index Cards (blank or with lines)
"a 2 colas of 1,yss:►I Antibacterial Spray (NO Fehre e Spray)",colas Antibacterial Spray,Multiple
a 2 rolls of paper towels,rolls paper towels,Multiple
"tit I rick (Wow. •x:rc""'",tit rick,1
ij 1
tY 1 box of 1 gallon storage hags,box storage hags,Multiple
13 1 box ol'sandwich size bags,sandwich size bags,13
11 1 pack of expo whits hoard markers,pack expo whits hoard markers,11
3 Kleenex boxes,Kleenex,3
VS 2 packages of baby wipes
a 1 box of 24 crayons,crayons,Multiple
2 boxes of MY FIRST T[CO'NQER.GA PENCILS (JUMBO SIZE: sole,PENCILS,2
"Lakeshore, or Walmart)"
tt 1 pack of multi -colored construction paper,pack multi colored construction paper,1
1 pack of p i n.k erasers,pack erasers,1
i 1 lunch.box for healthy snacks and lunch .,lunch box,1
t 1 Large Backpack (NO wheels),Large Backpack,1
"One change of clothing for accident days, which should include undo"
in a Zip-loc bag with the child's name.,Zip bag,1
"a 1 Rest Mat (sold at Target, Walmart, Lakeshore) Everyone must ha'"
*NO yoga mats and *NO sleeping bags,yoga mats and sleeping bags,Multiple
*NO sippy cups *NO shoe laces on shoes. Velcro only,cups shoe laces shoes Velcro only,Multiple
ne small blanket that fits in a Zip-loc bag with child's name. Blankets
•
y 1= ridhy to be washed and returned Monday.
l Y. Y. ir►r1s;r1
