DEMETRIOU GENERAL .W
111 BROADWAY SUITE 1702,BROADWAY SUITE 1702,111
NEW YORK NY 10006-,NEW YORK,10006
1
THIRD GRADE SUPPLY LIST
"• 6 Hardcover marble composition books (Labeled: Writing,",Hardcover marble composition books,6
"Reading, Math, Science, Social Studies, and Homework)"
• 7 folders with pockets (different solid colors if possible) (Labeled:,folders,7
"Writing, Reading, Math, Science, Social Studies, and Homework)"
• 2 boxes of 12 sharpened pencils with erasers for every day use (1,sharpened pencils,2
box will be collected)
• 1 box of 24 crayons,crayons,1
• 1 box of markers or colored pencils,markers colored pencils,1
• 1 glue stick,glue stick,1
• 1 roll of scotch tape,roll scotch tape,1
• 1 metric ruler,metric ruler,1
• 1 pair of scissors,scissors,1
• 1 pack of graph paper,pack graph paper,1
• 1 pack of yellow composition paper,pack composition paper,1
• 2 packs of computer paper,pack computer paper,2
• 2 boxes of tissues,tissues,2
• 1 package of post -its,post its,1
• 1 box of gallon sized Ziploc bags,box sized Ziploc bags,1
• 1 pack of highlighters (mixed colors),pack highlighters,1
• 1 pack of baby wipes,pack baby wipes,1
• 1 pack of white lined wide -ruled loose-leaf paper
• 1 package of index cards,index cards,1
• 1- 8 by 5 inch supply box (small size supply box),inch,1
• 1 pair of headphones in a ziploc bag with student's name for,headphones ziploc bag,1
computer class (no earbuds — unless you know they fit your child's,computer class,1
ears),ears,Multiple
"• $5.50 for ""Scholastic News"" magazines (cash only please)"
