Smith,Smith,1
Brady,Brady,1
• Pencils,Pencils,Multiple
• Glue sticks,Glue sticks,Multiple
• Crayons,Crayons,Multiple
• Colored pencils,Colored pencils,Multiple
• Markers,Markers,Multiple
• Erasers,Erasers,Multiple
• 1 black sharpie,sharpie,1
• Post -its,Post its,1
• Highlighters,Highlighters,Multiple
• Folders (plastic lasts much,Folders,Multiple
longer),longer,1
O 1 - Yellow,Yellow,1
O 1 - Red
O 1 - Green
O 1 - Blue,Blue,1
O 1 - Orange,Orange,1
• Notebooks,Notebooks,Multiple
O 3 - Marble notebooks,Marble notebooks,Multiple
(different colors would be
best)
O 1 - Red spiral notebook,Red spiral notebook,1
• A small pencil case to fit in desk
