(4) large Elmer's glue,large Elmer glue,1
Stick,Stick,1
(1) Oct Washable,Oct Washable,1
Crayola thick clsic,Crayola thick,1
markers,markers,Multiple
(2) e<‘iiers
(1) fluorescent Yellow,fluorescent Yellow,1
highlighter,highlighter,1
(2) dozen #2 pencils,pencils,Multiple
Ticonderoga brand,Ticonderoga brand,1
(2) pocket folders,pocket folders,Multiple
(any color)
(1) Colored pencils,Colored pencils,Multiple
(1) pencil r.,pencil,1
(3) Expo dry erase,Expo dry erase,1
markers,markers,Multiple
(1) 1' block binder,block binder,1
with clear view front
(1) composition book,composition book,1
(1) spiral notebook,spiral notebook,1
7O -sheet count,sheet,1
Classroom,Classroom,1
Donations,Donations,Multiple
2 large boxes tissue,large tissue,2
1 large canister,large,1
wig*,wig,1
