(4) large Elmer's glue,large Elmer glue,1
sticks,sticks,Multiple
(1) act washable,act washable,1
Crayola thick cw*tic,Crayola thick tic,1
markers,markers,Multiple
(2) ei users,users,Multiple
(1) fluorescent Yellow,fluorescent Yellow,1
highlighter,highlighter,1
(2) dozen #2 pencils,pencils,Multiple
Ticonderoga brand,Ticonderoga brand,1
(2) pocket folders,pocket folders,Multiple
(any color)
(1) Colored pencils,Colored pencils,Multiple
(1) pencil case,pencil case,1
(3) Expo dry ei use,Expo dry use,1
markers,markers,Multiple
"(1) 1"" bock binder",bock binder,1
with clear view front
(1) composition book,composition book,1
(1) spiral notebook,spiral notebook,1
70 -sheet count,sheet,70
Classroom,Classroom,1
Donations,Donations,Multiple
2 large boxes tissue,large tissue,2
1 large canister,large,1
wipes*,wipes,Multiple
