-.VAL,VAL,1
RN Fickett Elementary School
5t Grade Supply list
2 Mead -Subject Spiral Notebooks- 200 Sheet College Ruled,Mead Subject Spiral Notebooks 200 Sheet College Ruled,2
1 Two inch binder,Two inch binder,1
4 packs of lined notebook paper- College Ruled,pack lined notebook paper College Ruled,4
One (1) 12 pack of red pens,One pack pens,Multiple
One (1) bottle of glue,One glue,1
One (1) 4 pack glue sticks,One pack glue sticks,Multiple
One (1) container of Clorox Wipes and Hand sanitizer,One container Clorox Wipes and Hand sanitizer,Multiple
Hand Soap,Hand Soap,1
One pack of colored pencils,One pack colored pencils,Multiple
One pack of crayons,One pack crayons,Multiple
3 boxes of tissues,tissues,3
Two (2) yellow highlighters,Two highlighters,Multiple
One box of gallon or sandwich sized Ziplock Plastic bags,One box sandwich sized Ziplock Plastic bags,1
1 Pair of scissors,scissors,1
1 box of pencils,pencils,1
1 spiral notebook,spiral notebook,1
1 soft pencil pouch,soft pencil pouch,1
1 flash drive,flash drive,1
One 2 Pocket Folder (any color),One Pocket Folder,1
1 roll of paper towels,roll paper towels,1
2 white poster hoard,poster hoard,2
1 pack of copy paper,pack copy paper,1
1 bookbag (preferably NOT a roller bag)
Wish list (Supplies to keep at home),Wish,1
-Library card,Library card,1
-Laptop or computer,Laptop computer,1
-530 for purchase of chapter books
