I t Sheets,Sheets,Multiple
Second Grade 2o17 5 10
wide rule,wide rule,1
fis
12 black and white com•osit s sharened,black and,12
1 2 dozen Dixon Ticondero,Dixon,1
11 package Bic Blue Pens,Blue Pens,11
1 1 package Bic Black Pens,Black Pens,1
11 package Bic Green Pte,Green,11
1 1 box Paper Mate flair black mark rs,Paper Mate flair mark,1
1 1 box Crayola fat markers- box of 8,Crayola fat markers,1
11 box of Crayola colored pencils- box of 8 or 16,Crayola colored pencils,11
1 box Crayola crayons- box of 16,Crayola crayons,1
/1 package baby wipes,baby wipes,1
2 Elmer's glue sticks- fat,Elmer glue sticks fat,2
1 pair of headphones- no earbuds,headphones earbuds,1
/ 1 Fiskars scissor,scissor,1
1 ruler with inches AND centimeters,ruler,1
/ 6 packs of post its 3x3- multiple colors,pack post its multiple colors,1
11 dry erase eraser,dry erase eraser,11
1 1O EXPO day erase markers thin black,EXPO day erase markers thin,1
11 package 3x5 index cards,index cards,11
"11 pencil supply box- approximately 2 1/4""H x 5 5/8""W x 8"
"1/4""L"
1 Scotch tape,Scotch tape,1
"1 2 4x6"" 40 count tip wired notebook",tip wired notebook,1
11 red plastic bottom pocket folder,plastic bottom pocket folder,11
11 orange plastic bottom pocket folder,plastic bottom pocket folder,11
1 yellow plastic bottom pocket folder,plastic bottom pocket folder,1
1 green plastic bottom pocket folder,plastic bottom pocket folder,1
1 blue plastic bottom pocket folder,plastic bottom pocket folder,1
1 box gallon sized Ziploc baqs,box sized Ziploc,1
Additional Supplies
Schombs/
Santoriello
1/4 inch binder,inch binder,1
with 1 package of
sleeves,sleeves,Multiple
