AT&T
8:21 PM
school-supply-list.com
62% •
""" 1.. 12 -#2 Pencils",Pencils,1
12.2 -Glue Sticks,Glue Sticks,12
13. 1 White Glue,White Glue,13
1 4. 1- Pink Eraser,Pink Eraser,1
1 5. 1- White Eraser,White Eraser,1
1 6. 1 Pkg. Washable Felt,Pkg Washable Felt,1
Markers,Markers,Multiple
• 7. 1 Pair Scissors,Scissors,7
1 8. 1- Pencil Case,Pencil Case,1
1 9. 16 - Pocket Folders,Pocket Folders,1
",19. 2 - Pkg. Lined Paper",Pkg Lined Paper,19
",11•.' 1 - Pkg. Plain Paper",Pkg Plain Paper,11
112. 4 - Lined Composition,Lined Composition,112
Notebooks,Notebooks,Multiple
113. 10 -Blue Pens,Blue Pens,113
",14. 3 -Red Pens",Red Pens,14
",15. 1- Ruler",Ruler,15
