Nor:i - eic i :s
20 7-2Cv 8
<incerar:en SuDDy
• 2 spiral bound/composition notebooks,spiral bound composition notebooks,2
• 3 two pocket folders with prongs(durable plastic folders -not paper),two pocket folders,3
✓• 1 four package Expo Dry Erase markers,four Expo Dry Erase markers,1
• 4 pack pink erasers,pack erasers,4
t • 8 boxes of Crayola crayons (at least 24 pack)
• 3 bottles of Elmer's Glue,Elmer Glue,3
IX 1 pair of Safety Scissors (rounded ends),Safety Scissors,Multiple
1 • 12 Elmer's glue sticks,Elmer glue sticks,1
• 1 box of pencils,pencils,1
"• 1 plastic pencil box (to hold crayons, pencils, etc.)",plastic pencil,1
1 • 2 containers of disinfecting wipes (for example Clorox or Lysol; not,containers disinfecting wipes,1
baby wipes),baby wipes,Multiple
• 2 boxes of tissue,tissue,2
• 1 large bottle of hand sanitizer,large hand sanitizer,1
• 1 pack of colored cardstock or colored copy paper,pack colored colored copy paper,1
• 1 box of easy slider quart size Ziploc bags,easy slider quart size Ziploc bags,1
• 1 box of gallon size Ziploc bags,box size Ziploc bags,1
• 1 package of wrapped candy (used for rewards),wrapped candy,1
One book bag (no rolling book bags),One book bag,1
****$8.00 for Kindergarten T-shirt (used for field trips and special events)
