••••o T -Mobile,Mobile,1
10:39 AM
www1.pgcps.org
* * 70% Mit
Second Grade
3- Large Erasers,Large Erasers,3
1- Pack of 24 crayons,Pack crayons,1
1- Pack of Washable Color Markers,Pack Washable Color Markers,1
2- Elmer's Glue Sticks,Elmer Glue Sticks,2
2- Pack of Post -it Notes,Pack Post Notes,2
1- Bottle of Elmer's White Glue,Elmer White Glue,1
4- Composition Books,Composition Books,4
1- Ruler (inches and Centimeters),Ruler,1
1- Pair of Blunt Scissors (Fiskars are best),Blunt Scissors,1
4- Plastic Folders with Pockets,Plastic Folders,4
2- Packs of #2 Pencils (No mechanical Pencils),Pencils,2
"1- 1.5"" Hard Binder/ Notebook",Hard Binder Notebook,1
"2- Packs of Loose Leaf, Wide Ruled Notebook P",Loose Leaf Wide Ruled Notebook,2
1 -Zippered Pencil Pouch (No Pencil Boxes),Zippered Pencil Pouch,1
1- Pack of 8 subject dividers,Pack subject dividers,1
3- Spiral Notebooks,Spiral Notebooks,3
