Pre -Kindergarten Supply List
PK3
2017-2018 School Year,Year,2017
1. 2 Box of Flushable Wipes (for bathroom cleanliness),Flushable Wipes,1
2. 1 Box of Baby Wres (for art activities),Baby,2
3. 2 Box of Tissues,Tissues,3
4. 2 Roll of paper towels,Roll paper towels,4
5 1 Package of 5 oz. plastic or paper cups,plastic paper cups,5
6. 1 Container of antibacterial sanitizer (pump),Container antibacterial sanitizer,6
7. 1 Back Pack school bag,Back Pack bag,7
8. 1 Lunch box (for full day students who bring lunch) - no metal lunch boxes,Lunch box metal lunch,8
9. 1 Box of Crayola crayons,Crayola crayons,9
10. 1 Extra change of clothes in a Ziploc bag with name written on outside,Extra change clothes Ziploc bag,10
(all items should be labeled with name and season appropriate).
11. Infant/Toddler Nap Mat (for full day students - see below) - pillow is,Infant Toddler Nap Mat pillow,11
attached to the blanket,attached the blanket,1
No sleeping bags or loose pillows allowed,sleeping bags loose pillows allowed,Multiple
12. 1 package of Elmer's glue sticks,Elmer glue sticks,12
13. 1 Container Clorox or Lysol wipes,Container Clorox Lysol wipes,13
14. 1 package of colored construction paper,colored construction paper,14
15. painting smock,painting smock,15
16. 1 package of plastic drinking straws,plastic drinking straws,16
*Please remember to label all supplies with your child's name*
Sample of the Nap Mat. You can find this product at JCPenny.
4 6
•
.•
