Grat
5jh GRAM,GRAM,1
Nylon Zipper binder,Nylon Zipper binder,1
6 -durable pocket folders with 3 holes to fit inside nylon zipper binder,durable pocket folders,6
Pencil pouch with 3 holes to fit inside binder,Pencil pouch,1
Endless supply of pencils! (mechanical recommended),Endless pencils,Multiple
"1 -locker stacking shelf with 12"" legs",locker stacking shelf,1
"2.834x11%"" graph paper spiral bound notebooks (math)",graph paper spiral bound notebooks,2
"4-1 subject notebook (1 for SS, 2 for science, 1 for religion)",subject notebook,4
4-100 count packages of loose leaf paper (reading/LA/religion),loose leaf paper,4
"3 -Yellow (8)4x11%"")legal note pad (LA)",Yellow legal note pad,3
"S -JUMBO books covers (2 red(LA) ,1 purple(math), 1 green(SS),1 blue(science)j"
3 pink erasers (reading/LA),erasers,3
1-50 pack wooden pencils*,pack wooden pencils,1
1- 24 pack of crayons*,pack crayons,1
1-24 pack of color pencils*,pack color pencils,1
1.10 pack of fine line markers',pack fine line markers,1
1- 4 pack of Expo markers*,pack Expo markers,1
8 -red ball point pens*,red ball point pens,8
pair scissors*,scissors,Multiple
"3-3""x3"" Post -it note pads (variety of colon)*",Post note pads,3
3 boxes of Kleenex',Kleenex,3
3 rolls of paper towels*,rolls paper towels,3
1 container Clorox wipes*,container Clorox wipes,1
1 container Baby wipes',container Baby wipes,1
1 box gallon size ziploc bags*,box size ziploc bags,1
Backpack (no wheels),Backpack,1
• items to be collected by teacher for community classroom use
5th um ART
Glue stick,Glue stick,1
"Watercolor paint set, washable, 8 colors with brush",Watercolor paint set washable colors,1
"Sketchbook, side wirebnd, 11x8.5, 70 sheets",Sketchbook side sheets,Multiple
;fit GRADE COMP,fit COMP,1
Headphones --no earbuds (to stay in comp. lab),Headphones earbuds,Multiple
