EIGHTH GRADE
"2 1"" AVERY BLUE DURABLE VIEW D -RING BINDER",AVERY BLUE DURABLE VIEW RING BINDER,2
"1 1"" AVERY BLACK DURABLE VIEW D -RING BINDER",AVERY BLACK DURABLE VIEW RING BINDER,1
"1 1"" AVERY GREEN DURABLE D -RING BINDER",AVERY GREEN DURABLE RING BINDER,1
3 WIDE RULE 8X10.5 FILLER PAPER 12011,WIDE RULE FILLER PAPER 12011,3
5 STAB MULTI COLORED INDEX PAPER DIVIDERS,STAB MULTI COLORED INDEX PAPER DIVIDERS,5
1 BLUE PLASTIC FOLDER W/ 3 HOLES,BLUE PLASTIC FOLDER HOLES,1
1 BLACK PLASTIC FOLDER W/ 3 HOLES,BLACK PLASTIC FOLDER HOLES,1
"1 2"" AVERY RED DURABLE EZD RING BINDER",AVERY RED DURABLE RING BINDER,1
24 NO2 DIXON TICONDEROGA PENCIL LATEX FREE,DIXON TICONDEROGA PENCIL LATEX FREE,24
2 4X6 ASST RULED INDEX CARDS 1000,ASST RULED INDEX CARDS 1000,2
1 ON THE EAR ADJUSTABLE BAND HEADPHONES,THE EAR ADJUSTABLE BAND HEADPHONES,1
1 3X3 ASST PASTEL POST IT NOTES 1/50SHT PAD,ASST PASTEL POST NOTES PAD,1
1 1.5X2 YELLOW POST IT NOTES 1 PAD,YELLOW POST NOTES PAD,1
1 WIDE RU1F BLACK MARBLE COMP BOOK 100CT,WIDE BLACK MARBLE COMP BOOK,1
2 ASST HIGHLIGHTERS 4 PACK,ASST HIGHLIGHTERS PACK,2
6 BLACK MEDIUM STICK PEN,BLACK MEDIUM STICK PEN,6
6 BLUE MIEDIUM SPICK PEN,BLUE PEN,6
6 R ED MEa UM STICK PEN,STICK PEN,6
"1 C RAYOLA 7"" COLORED PRESHARPENEI) PENC11_S 12Cii"
"1 NYLON PENCIL BAG, CLEAR TOP W/ GROMT 7.25X10.25",NYLON PENCIL BAG CLEAR TOP,1
"1 12"" 1/16"" STANDARD/METRIC PLASTIC RULER",STANDARD METRIC PLASTIC RULER,1
1 8 PKT SPIRAL POLY COLOR PORTFOLIO,SPIRAL COLOR PORTFOLIO,1
