De Zava a E e�en�:
2017 _ 2018 SFhool Su
Third Grade
1 pack of Clorox wipes,pack Clorox wipes,1
1 box of Crayola crayons,Crayola crayons,1
1 box of Crayola markers,Crayola markers,1
48 #2 pencils (no mechanical pencils),pencils,48
4 glue sticks,glue sticks,4
1 pair of Fiskars pointed scissors,pointed scissors,1
2 boxes of tissue paper,tissue paper,2
4 jumbo pink erasers,jumbo erasers,4
"4 hard cover composition notebooks (1 yellow, 1 green, 2 black)",hard cover composition notebooks,4
2 packages of College ruled paper 200 count,College ruled paper 200,2
"1 white 1"" 3 -ring view binder",ring view binder,1
1 set of 5 tab dividers,tab dividers,1
1 Quad ruled spiral notebook,Quad ruled spiral notebook,1
3 bottles of sanitizer,sanitizer,3
2 yellow highlighters,highlighters,2
1 package of construction paper,construction paper,1
1 pack of multiplication cards (keep at home),pack multiplication cards,1
1 pack of division cards (keep at home),pack division cards,1
1 ream of Xerox paper,ream Xerox paper,1
•
Tercer G
1 paque
1 caja d
1 caja d
48 Iapic
4 barrit
1 par d,par,1
2 cajas
4 born,born,4
4 cuad
1 page,page,1
1 cart,cart,1
/1st
1 cua
4 cal,cal,4
1 p%
1 pi
2 b+
lc
Ta
