- 24 #2 Penci s
- 1 Box of Pens 1:3 ue or 8 ack in,Pens,1
- Extra Erasers,Extra Erasers,Multiple
- 5 Folders 1;1 per 5ui iecte,Folders,5
- 5 Composition Notebooi ks (1 •,Composition,5
per Subject)
- 1 Homework Pad,Homework Pad,1
- Crayons,Crayons,Multiple
- Colored Pencils,Colored Pencils,Multiple
- Sciccar
- 3 x 5 Index Card,Index Card,3
- GlUe Stick s,Stick,1
- Pencil Case,Pencil Case,1
- 1 Pack of Loo,Pack,1
Highli h se Leaf paper,Leaf paper,1
.. l 9 tens,tens,Multiple
Pack of Dry E,Pack Dry,1
1 QOttle of se Markers 1 Box � Sa+�iti,Markers,1
1 of Tissues =er,Tissues,1
Ikon
o f p
1 ''eat q Per Towels,eat Per Towels,1
tt�tUdeI
'Y�
