NEEDED,NEEDED,1
"Welcome to .: ourt, z G ra",Welcome,1
This is going to be a wonderful school year and your children will be busy l'
Bel
ow is a list of suggested supplies your child will need for foul
❑ backpack (No wheels),backpack,1
❑ 1 box of pencils and 1 large eraser (no mechanical pencils)*,pencils and large eraser,1
❑ 3 glue sticks*,glue sticks,3
❑ box of crayons,crayons,Multiple
❑ 5 packs of Post -It notes — standard size*,pack Post notes standard size,5
❑ 6 marble composition books,marble composition books,6
❑ 5 pocket folders,pocket folders,5
❑ 1 package of wide ruled paper*,wide ruled paper,1
No pencil boxes,pencil,Multiple
No binders,binders,Multiple
Su lies to have at home:
❑ Ruler,Ruler,1
0 Protractor,Protractor,1
"0 crayons, colored pencils, or markers",crayons colored pencils markers,Multiple
I would appreciate it if each family could donate tissues an
Thank you!,Thank you,1
