"!son t""",son,1
* 1000611 .ciky 000,000,1000611
"""1"
l taU dividers,dividers,Multiple
2 Packs of g
loose-leaf,loose leaf,1
Cradle,Cradle,1
d covered -1 '/�n h,covered,1
Lolise#Ieaf
Graph paper,Graph paper,Multiple
8 divicict'.s
5 div ider5 notebooks,div notebooks,5
3 spiral,spiral,3
4 folders,folders,4
1 red pcfl
2 bIick or blue pens,pens,2
Whiteout,Whiteout,1
Hole puncher •,Hole puncher,1
Post its,Post its,1
1 highlighter,highlighter,1
1 homework pad,homework pad,1
•
1
'General Supplies List Grades 7,General,7
"Pens (Black, Blue and Red)",Pens,Multiple
Pencils,Pencils,Multiple
