•••oc AT&T 1'4
11:27 PM
ps39r.org
161%x}
•r
Kindergarten's Supply List 2017 -,Kindergarten,2017
201
8
2 Packages of sharpened pencils,sharpened pencils,2
5 Primary Composition Notebook (Like the one pictured,Primary Composition Notebook,5
on the summer homework)
2 boxes of Crayola crayons (24 count),Crayola crayons,2
2 boxes of Crayola Broad Line Markers (10 count),Crayola Broad Line Markers,2
2 packs of thin dry erase markers (low odor please),pack thin dry erase markers,2
1 eraser for dry erase board,eraser,1
2 packages of plastic sheet protectors,plastic sheet protectors,2
2 reams of white computer/copy paper,reams computer copy paper,2
1 roll of scotch tape,roll scotch tape,1
1 box of Kleenex tissues,Kleenex tissues,1
1 roll of paper towels,roll paper towels,1
1 box of Ziploc gallon sized bags,box Ziploc sized bags,1
1 box of Ziploc quart sized bags,Ziploc quart sized bags,1
1 container of baby wipes,container baby wipes,1
1 bottle of liquid soap,liquid soap,1
1 pkg. playdoh
1 pkg. Wiki sticks,sticks,1
Complete change of clothes in a gallon size zip lock
baggie with child's name on it.
Your child needs a full size backpack (NO
"WHEELS),_",WHEELS,Multiple
