PROSPECT SUPPLY LIST,PROSPECT,1
SUPPLIES NEEDED FIRST DAY OF SCHOOL— LABEL ALL ITEMS,NEEDED DAY LABEL ALL,1
KINDERGARTEN
1 pair Fiskar scissors,Fiskar scissors,1
2 boxes of 8 basic color,basic color,2
crayons,crayons,Multiple
1 box of 24 crayons,crayons,1
5 glue sticks (to be,glue sticks,5
replaced as needed)
Boys:1 box qt. sized,Boys sized,Multiple
baggies,baggies,Multiple
Girls: 1 box gal. sized,Girls gal sized,Multiple
baggies,baggies,Multiple
1 box of Kleenex,Kleenex,1
Standard sized back pack,Standard sized back pack,1
(no wheels),wheels,Multiple
2ND GRADE
Backpack (no wheels),Backpack,1
2 pkgs. of =2 pencils,pencils,2
1 plastic pencil supply pox,plastic pencil pox,1
"(6""x9"")"
4 large glue sticks,large glue sticks,4
4 low odor dry erase markers,low odor dry erase markers,4
(dark colors),dark colors,Multiple
2 highlighters,highlighters,2
2 pocket folders,pocket folders,2
1 ocx (16-24) crayons,crayons,1
2 medium point red pens,medium point pens,2
1 box of Kleenex,Kleenex,1
Girls:: bx. Qt. size ziplock bags,Girls size ziplock bags,Multiple
Boys: 1 bx. Gallon size ziplock,Boys size ziplock,Multiple
bags,bags,Multiple
1 marble composition book,marble composition book,1
1 pair of scissors,scissors,1
"SALAMANCA, NY"
1ST GRADE
24 court box of crayons,court crayons,24
2 Highlighters,Highlighters,2
Supply box. 6x9,box,1
2 boxes of #2 pencils,pencils,2
Erasers,Erasers,Multiple
4 Glue sticks,Glue sticks,4
Scissors,Scissors,Multiple
2 pocket folders w/three prongs,pocket three prongs,2
6 dry erase makers (dark colors &,dry erase makers,6
low odor,low odor,1
:.arge box of tissues,tissues,Multiple
' clear view binder w/pockets,clear view pockets,Multiple
Boys: 1 box of quart size. baggies
Girls: 1 box of gallon size boggles
3RD GRADE
Backpack (no wheels),Backpack,1
Pencils (' -2 packages),Pencils,Multiple
Pencil tip erasers,Pencil tip erasers,Multiple
2 yellow highlighters,highlighters,2
1 box of crayons (48 or less) o',crayons,1
colored pencils,colored pencils,Multiple
Scissors,Scissors,Multiple
Pencil box,Pencil,1
2 pocket folders,pocket folders,2
1 package of paper (wide -ruled),paper,1
2 glue sticks,glue sticks,2
2 boxes of Kleenex,Kleenex,2
1 box quart size baggies,quart size baggies,1
4 dark colors dry erase markers,dark colors dry erase markers,4
Please DO NOT send: pens.
"mechanical pencils, trapper"
keepers or binders,keepers binders,Multiple
UPK
"7 X 10"" ZIPPER POCKET/POUCH 1 ROLL BOUNTY BASIC PAPER TOWELS",ZIPPER POCKET POUCH ROLL BOUNTY BASIC PAPER TOWELS,7
EXTRA CHANGE OF CLOTHES W/NAME ON ZIPLOC BAG
REGULAR SIZE BACKPACK 1 PACKAGE OF BABY WIPES,REGULAR SIZE BACKPACK BABY WIPES,1
20 GLUE STICKS 1 BOX OF KLEENEX,GLUE STICKS KLEENEX,20
1 BOX ZIPLOC BAGGIES ANY SIZE,ZIPLOC BAGGIES ANY SIZE,1
