3rd Grade supply List
"12 Peneita (NO mechanical pencils, please)"
Erasers,Erasers,Multiple
1 Pencil Sharpener WITH Ild,Pencil Sharpener WITH,1
"1 Pencil'irpered Pouch (NO school boxes, please)",Pencil Pouch,1
"2 Glue Sticks (NO glue 'yes, please)",Glue Sticks,2
1 Child Safety Scissors,Child Safety Scissors,1
1 Highlighters (any color),Highlighters,1
6 Black 8. White Intermediate Composition Notebooks,Black White Intermediate Composition Notebooks,6
"2 Packs of white, lined notebook paper",white lined notebook paper,2
Headphones (frorn Dollar store),Headphones,Multiple
"1 ! +,e of Zipio4 Bags",Bags,1
"1 Bookbag (no wheels, please)"
"1 12 Ruler (must display Z --44111 anti ,:aa;t' stem)",Ruler,1
1 Box of Crayons,Crayons,1
2 Red ...s,Red,2
2 Blue Pens,Blue Pens,2
"1 Plastic Hom lea,F,uig",Plastic Hom lea,1
"1 3'"" Binder for FCAT Practice ii e.kl F, ;",Binder,1
• 4 plastic `..lders �' .' '4 AI � a
• . i infoclart Wes,Wes,1
• 1 box cr Kleenex SCV,Kleenex,1
A•
• Water er bathe,Water bathe,1
2 reams apy y=:,reams,2
