.11u L'raue School Supply List
7 black and white composition notebooks (put your,black and composition notebooks,7
child's name on it),child name,1
10 2 - plastic folders (a variety of colors),plastic folders,10
3 packs of pencils (these will be distributed,pack pencils,3
throughout the school year)
1 pack of blue and black pens,pack blue and pens,1
2 -3 large pink erasers,large erasers,2
1 hand held pencil sharpener,hand held pencil sharpener,1
1 box of markers (regular or thin),markers,1
1 box of colored pencils,colored pencils,1
1 pack of dry erase markers,pack dry erase markers,1
1 pack of crayons,pack crayons,1
3 packs of Post -its notes,pack Post its notes,3
1 12inch ruler,ruler,1
1 pac of post -its,post its,1
1 pac o glue sticks,glue sticks,1
1 pack of black sharpies,pack sharpies,1
","
1 box of gallon S1Ze or reg`,box reg,1
1
box - san bags,bags,Multiple
