"MAIA..1 Go LAI If Ir«se su;a,iies when we begin schoo :"
• A plastic pencil box,plastic pencil,1
• 12+ sharpened #2 penci s (pre sharpened),sharpened,12
• 1 pox of 24 colored pencils with small hand sharpener (must have;,pox colored pencils,1
1
• 3 BIG g ue sticks,BIG sticks,3
• 2 b ac /white hard cover composition notebook x;100-115 ages),white hard cover composition notebook 100 115 ages,2
• 1 student scissor,scissor,1
• 1 pox of fine tip colorful markers,pox fine tip colorful markers,1
• 2 fine tip permanent black markers (roust have for projects),fine tip permanent markers,2
• 1 dry -erase erf_t_ter for c'aily math,dry erase,1
"• small packs of dry erase markers for the year ;thin size;► �"".: wi F",small pack dry erase markers,1
for you with your name on the package) * Most important item
• ::nclepenc'ent reac ring novel or chapter book
• Non glass water bottle,Non glass water,1
• one inch 3 -ring binder for Spanish
• 1 pack of 50 sheet protectors with 3 ring cinder ho es .=or 5 xinis �
• 1 one -inch loose leaf 3 -ring binder with Tru Vue c ear poc <et cover
