PS 94 THE KINGS COLLEGE SCHOOL Supply List 2017-2018,THE KINGS COLLEGE 2017,2018
ALL GRADES- All supplies must have child's name
"""SIX PACK OF PENCILS",SIX PACK PENCILS,Multiple
0 TWO ROLLS OF PAPER TOWELS,TWO ROLLS PAPER TOWELS,Multiple
❑ ONE PACKAGE WIDE LINED PAPER,ONE WIDE LINED PAPER,1
❑ THREE BOXES OF TISSUE,THREE TISSUE,Multiple
"""TWO PACKS (500 SHEETS) COMPUTER PAPER",TWO COMPUTER PAPER,Multiple
❑ BOX GALLON SIZE ZIPLOC BAGS,BOX SIZE ZIPLOC BAGS,1
❑ BOX QUARTER SIZE ZIPLOC BAGS,QUARTER SIZE ZIPLOC BAGS,1
❑ ISINFECTANT WIPES,WIPES,Multiple
E 8 POCKET FOLDERS (PLAIN COLORS),POCKET FOLDERS,Multiple
"113',GLUE STICKS",GLUE STICKS,113
I BOX OF COLORED PENCILS,COLORED PENCILS,Multiple
❑ 1 SET OF HEADPHONES/EARPHONES FOR,HEADPHONES EARPHONES FOR,1
COMPUTER USE,COMPUTER USE,1
Ili . PAIR OF BLUNT EDGE SCISSORS,BLUNT EDGE SCISSORS,Multiple
MARBLE NOTEBOOKS,MARBLE NOTEBOOKS,Multiple
❑ KINDERGARTEN- 10 NOTEBOOKS,KINDERGARTEN NOTEBOOKS,Multiple
IIRST GRADE- 10 NOTEBOOKS,NOTEBOOKS,Multiple
❑ SECOND GRADE- 12 NOTEBOOKS,NOTEBOOKS,Multiple
❑ THIRD GRADE- 12 NOTEBOOKS,NOTEBOOKS,Multiple
❑ FOURTH GRADE- 10 NOTEBOOKS,NOTEBOOKS,Multiple
❑ FIFTH GRADE- 14 NOTEBOOKS,NOTEBOOKS,Multiple
Kindergarten
O A CHANGE OF CLOTHING,CHANGE CLOTHING,1
First G ade
Idd ONE PACK OF MULTI -COLOR CONSTRUCTION PAPER,ONE PACK MULTI COLOR CONSTRUCTION PAPER,1
2 GRADE - 9 GRADE
❑ TWO PACKAGES OF LOOSE LEAF PAPERS,TWO LOOSE LEAF PAPERS,Multiple
❑ ONE PENCIL CASE,ONE PENCIL CASE,1
4TH GRADE - S GRADE
❑ TWO PACKAGES OF BLACK/BLUE ERASABLE INK PENS,TWO BLACK BLUE ERASABLE INK PENS,Multiple
❑ ONE DICTIONARY AND THESAURUS,ONE DICTIONARY AND THESAURUS,1
KEEP AT HOME (ALL GRADES)
EillX BOXES OF PENCILS,PENCILS,Multiple
G34 ELECTRIC PENCIL SHARPENER,ELECTRIC PENCIL SHARPENER,1
p ONE BOX OF 24 COD PENCILS,ONE COD PENCILS,Multiple
�ACKAGE OF COLORED�E OR A GLUE STICK,COLORED GLUE STICK,Multiple
Egi
MALL BOTTLE OF GL,MALL,1
