3rd Grade
Back Pack
Scissors,Scissors,Multiple
Crayons- 24,Crayons,24
2 Packages of 20 Count Pencils i;to be shared)
Pencil Bag,Pencil Bag,1
12-inch/Centimeter Ruler,inch Centimeter Ruler,12
Flash Drive,Flash Drive,1
4 Large Glue Sticks,Large Glue Sticks,4
Markers (thick ones),Markers,Multiple
1 inch White Three Ring Binder,inch White Three Ring Binder,1
"3 Packages of 3""X 5"" Lined Index Cards",Lined Index Cards,3
3 Large Tissue Boxes,Large Tissue,3
1 Box Band-Aids,Band Aids,1
2 Rol of Paper Towels,Paper Towels,2
1 Container Clorox Wipes,Container Clorox Wipes,1
4 Pack of Dry erase Markers 1:to be shares,Pack Dry erase Markers shares,4
"1 Rbstic 2 Pocket Fo, c er 1:no Prongs:E",Pocket Prongs,1
"Orange, 1 B ue, 1 Red, 1 Green, Composition",Orange Red Green Composition,1
Note )0a (s,Note,1
1 ) cage o1' _oose .eal * Pa Der — Wic e Ru ec,cage Der,1
-'ead 3 'lone/ear DUC s in Zi 3 OC Daggie wit 1 Name
ior Computer C ass,Computer ass,1
