• 4 packages of #2 pencils with erasers ***SHARPENED**,pencils,4
• 1 package of pink erasers,erasers,1
• 4 glue sticks,glue sticks,4
• 1 package of dry erase markers with an eraser,dry erase markers,1
• 1 package of thin sharpie markers,thin sharpie markers,1
• 2 packages of Tined post -its,Tined post its,2
• 2 rolls of paper towels,rolls paper towels,2
• 2 boxes of tissues,tissues,2
• 1 box of gallon size Ziploc baggies,box size Ziploc baggies,1
• 1 box of sandwich Ziploc boggles,sandwich Ziploc boggles,1
• 1 bottle of antibacterial hand sanitizer,antibacterial hand sanitizer,1
• 1 container of Clorox cleaning wipes,container Clorox cleaning wipes,1
• 1 package of baby wipes,baby wipes,1
• 8 marble notebooks,marble notebooks,8
"• 8 plastic folders with front bottom pockets (not side pockets) (2 red, 1 blue, 1 greei",plastic folders,8
"black, 1 of your choice for Homework)",black your choice,1
• 1 small box of crayons,small crayons,1
• 1 package of colored pencils,colored pencils,1
• 2 packs of white copy paper,pack copy paper,2
• 1 package of 4 X6 index cards,index cards,1
• Earphones for laptops in a Ziploc baggie with their name on it.,Earphones,Multiple
• A ruler with both inches and centimeters,ruler,1
