2 - 3 sub:ect note Dooks,sub note,2
4 Marb e composition notebooks,composition notebooks,4
5 p':astic fo ders +:2 pockets,pockets,5
1 box +;72 penci sl► of #2 )ixon Ticonderoga p,Ticonderoga,1
"IL box of 1 'aper Mate or i 3ic i, 3 ue or b ack pe"
1 1 ' oox Crayo a co ored penci s
1 oox Crayo a crayons 1:24 pack:,crayons pack,1
1 box Crayo a markers,markers,1
A ream I;500 sheets of white copy paper
dt 3 packs of loose-leaf paper (3 ring),pack loose leaf paper,1
Ili 2 thick glue sticks,thick glue sticks,Multiple
di 2 highlighters,highlighters,Multiple
1 pack of Expo Markers,pack Expo Markers,1
1 pack of black Sharpies (regular tip),pack Sharpies,1
1 box of Ziploc freezer gallon size,box Ziploc freezer size,1
I 2 Clorox Disinfecting wipes
* 1 bottle of Clorox Green Works,Clorox Green Works,1
* 1 kitchen sponge,kitchen sponge,1
* 1 pack of index cards Irregular size,pack index cards Irregular size,1
* Post -its,Post its,1
* Anti -bacterial hand soap,Anti bacterial hand soap,1
* 2 boxes tissues,tissues,2
* 2 rolls of paper towels,rolls paper towels,2
* 2 rolls of Scotch tape,rolls Scotch tape,2
1I I _ _ . _ f 1 ••
w. • • ▪ Al mmus YIN .—.,YIN,1
